clustered,ecoinvent_prod,model_similarity
repair of speed reduction units,electronics scrap from control units,0.6529327054
repair of speed reduction units,manual dismantling of used electric passenger car,0.651081649
repair of speed reduction units,manual dismantling of electric scooter,0.6508451596
repair of speed reduction units,manual dismantling of used passenger car with internal combustion engine,0.6498973321
repair of speed reduction units,"machine operation, diesel, >= 18.64 kW and < 74.57 kW, low load factor",0.6495466036
rubber cutting operations,"deep drawing, steel, 38000 kN press, automode",0.6447874655
rubber cutting operations,"deep drawing, steel, 650 kN press, automode",0.6447430625
rubber cutting operations,"deep drawing, steel, 38000 kN press, single stroke",0.644456664
rubber cutting operations,"deep drawing, steel, 3500 kN press, automode",0.6443402992
rubber cutting operations,synthetic rubber,0.6442171064
iron foundries installations,"cast iron removed by drilling, computer numerical controlled",0.6709775201
iron foundries installations,"cast iron removed by milling, large parts",0.6676162935
iron foundries installations,"cast iron removed by milling, dressing",0.6675822295
iron foundries installations,"cast iron removed by drilling, conventional",0.6672296521
iron foundries installations,"cast iron removed by turning, primarily roughing, computer numerical controlled",0.6670633326
punch shear combi machines,"delimbing/sorting, excavator-based processor",0.6411667805
punch shear combi machines,"swath, by rotary windrower",0.6398871509
punch shear combi machines,"mowing, by rotary mower",0.634346709
punch shear combi machines,"inductor, miniature radio frequency chip",0.6337240917
punch shear combi machines,potato grading,0.6335518971
outsourcing of financial services,"operation, computer, desktop, office use",0.6523395995
outsourcing of financial services,"operation, computer, desktop, home use",0.6517011518
outsourcing of financial services,"operation, computer, laptop, videoconference, electricity from renewable energy products",0.6506129404
outsourcing of financial services,"operation, internet access equipment, electricity from renewable energy products",0.6502663428
outsourcing of financial services,ferry,0.6486089351
dismantling of industrial plants,manual dismantling of used electric passenger car,0.6628348655
dismantling of industrial plants,manual dismantling of used passenger car with internal combustion engine,0.6606877642
dismantling of industrial plants,"recultivation, iron mine",0.6561024781
dismantling of industrial plants,manual dismantling of electric scooter,0.6529259799
dismantling of industrial plants,decommissioned chemical production facilities,0.6521431337
chemical waste recycling,slag landfill,0.6609413976
chemical waste recycling,municipal waste collection service by 21 metric ton lorry,0.6595747219
chemical waste recycling,"waste paper, sorted",0.6590945723
chemical waste recycling,"waste paperboard, sorted",0.6578605307
chemical waste recycling,waste polypropylene,0.6573904918
milling of plastic,"extrusion of plastic sheets and thermoforming, inline",0.6595689659
milling of plastic,thermoforming of plastic sheets,0.6543272653
milling of plastic,"sheet rolling, aluminium",0.6527537503
milling of plastic,"aluminium removed by turning, primarily roughing, computer numerical controlled",0.6526603695
milling of plastic,paper machine,0.6526184095
onshore services,onshore petroleum field infrastructure,0.6587881025
onshore services,port facilities,0.6557212174
onshore services,"trawler maintenance, steel",0.6557207179
onshore services,"maintenance, ferry",0.6524919706
onshore services,"maintenance, transmission network, electricity, high voltage direct current subsea cable",0.6517797615
boring machines,paper machine,0.6517709736
boring machines,building machine,0.6493788524
boring machines,"machine operation, diesel, >= 74.57, underground mining",0.64888439
boring machines,plastic tunnel,0.648840003
boring machines,"metal working machine, unspecified",0.6462672411
motor vehicle cluches,decommissioned road,0.6438735763
motor vehicle cluches,"transport, passenger car, EURO 4",0.6435622057
motor vehicle cluches,"transport, passenger car, EURO 5",0.6430439452
motor vehicle cluches,"road wear emissions, passenger car",0.6429791905
motor vehicle cluches,"road wear emissions, lorry",0.6426625836
multimedia intranet services,"internet access, videoconference, 0.7 Mbit/s",0.6623004303
multimedia intranet services,"internet access, work, 0.2 Mbit/s",0.6605558663
multimedia intranet services,internet access equipment,0.6595291184
multimedia intranet services,"cable, data cable in infrastructure",0.6554679027
multimedia intranet services,medium density fibreboard,0.655160947
product for animal beauty,silicone product,0.662923659
product for animal beauty,almond,0.6610444013
product for animal beauty,dairy,0.6579700297
product for animal beauty,"cattle for slaughtering, live weight",0.6578310453
product for animal beauty,nylon 6,0.6570587381
staff,"operation, computer, laptop, videoconference",0.657765682
staff,"operation, computer, desktop, office use",0.6568108797
staff,"building operation, hostel",0.6546324157
staff,"operation, computer, desktop, with cathode ray tube display, standby mode",0.6540655339
staff,"operation, computer, desktop, with cathode ray tube display, off mode",0.6536419786
pedicure items,"textile, nonwoven polyester",0.6568657546
pedicure items,"textile, nonwoven polypropylene",0.6549840769
pedicure items,"textile, silk",0.6516179442
pedicure items,"fibre, silk, short",0.6506751205
pedicure items,"textile, kenaf",0.650663519
bijouterie,aubergine,0.6444884271
bijouterie,lignite briquettes,0.6391788877
bijouterie,bauxite,0.635379067
bijouterie,"road wear emissions, passenger car",0.6349181238
bijouterie,"road wear emissions, lorry",0.6338862839
"foundries, brass","casting, brass",0.671389608
"foundries, brass",brass,0.6649323001
"foundries, brass","brass removed by drilling, computer numerical controlled",0.6646996753
"foundries, brass","brass removed by turning, primarily roughing, computer numerical controlled",0.6630179639
"foundries, brass","brass removed by turning, average, computer numerical controlled",0.6629633804
new truck parts,"maintenance, motor scooter",0.6575637669
new truck parts,"maintenance, goods wagon",0.657528617
new truck parts,"maintenance, bus",0.6564845013
new truck parts,"electronic component machinery, unspecified",0.6538235248
new truck parts,"chassis, internet access equipment",0.6537975615
powder disposal,waste preparation facility,0.6496152358
powder disposal,municipal waste incineration facility,0.6482004647
powder disposal,fraction 7 from naphtha separation,0.6469494099
powder disposal,"sorting facility, for construction waste",0.6468428601
powder disposal,hazardous waste incineration facility,0.6460211849
waste recycling machines,"waste paperboard, sorted",0.6617739821
waste recycling machines,waste paper sorting facility,0.6613771912
waste recycling machines,"waste paper, sorted",0.6603073635
waste recycling machines,waste fibreboard,0.6598426811
waste recycling machines,waste paperboard,0.6586532405
gastronomic specialties,dairy,0.6524159793
gastronomic specialties,celery,0.645956071
gastronomic specialties,glucose,0.6450578747
gastronomic specialties,mustard,0.6447675448
gastronomic specialties,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",0.6446236375
concrete constructions,concrete slab,0.6681643271
concrete constructions,"concrete, medium strength",0.6667042578
concrete constructions,"concrete, 37MPa",0.6642414002
concrete constructions,"waste concrete, not reinforced",0.6636731364
concrete constructions,"fibre-reinforced concrete, steel",0.6626515989
business consultancy,"operation, computer, laptop, videoconference",0.6462423346
business consultancy,"building operation, upmarket hotel",0.6455482009
business consultancy,"operation, computer, desktop, office use",0.6453583478
business consultancy,"operation, computer, laptop, videoconference, electricity from renewable energy products",0.6448809901
business consultancy,"operation, computer, desktop, home use",0.6436019846
goods procurement,"transport, freight, aircraft, unspecified",0.6498523965
goods procurement,"maintenance, goods wagon",0.6492881787
goods procurement,goods wagon,0.648813493
goods procurement,"transport, passenger aircraft, unspecified",0.6487301586
goods procurement,folding boxboard carton,0.6480385524
waste transportation,municipal waste collection service by 21 metric ton lorry,0.6594297467
waste transportation,waste paper sorting facility,0.6573724832
waste transportation,"waste collection lorry, 21 metric ton",0.6572708843
waste transportation,"sorting facility, for construction waste",0.6572217466
waste transportation,municipal waste incineration facility,0.6564272572
treatment of industrial waste water,"manual treatment facility, waste electric and electronic equipment",0.6666333216
treatment of industrial waste water,ion-exchanger for water treatment,0.6665971385
treatment of industrial waste water,"wastewater treatment facility, capacity 1.6E8l/year",0.6664350366
treatment of industrial waste water,"wastewater treatment facility, capacity 1.1E10l/year",0.6662113464
treatment of industrial waste water,wastewater from potato starch production,0.6653667164
deep-drawn aluminium parts,"deep drawing, steel, 10000 kN press, automode",0.6447479555
deep-drawn aluminium parts,"deep drawing, steel, 3500 kN press, automode",0.6443635438
deep-drawn aluminium parts,"deep drawing, steel, 38000 kN press, automode",0.6442149118
deep-drawn aluminium parts,"deep drawing, steel, 650 kN press, automode",0.6439111705
deep-drawn aluminium parts,"aluminium removed by milling, large parts",0.6436722185
crockery,"printed wiring board, mounted mainboard, desktop computer, Pb containing",0.6480681082
crockery,"printed wiring board, mounted mainboard, laptop computer, Pb containing",0.6474442198
crockery,"printed wiring board, for through-hole mounting, Pb free surface",0.6463819612
crockery,"printed wiring board, for through-hole mounting, Pb containing surface",0.6461718055
crockery,"computer, desktop, without screen",0.6456704445
automobile - assistance,"maintenance, passenger car, electric, without battery",0.6458141957
automobile - assistance,"maintenance, electric scooter, without battery",0.643460553
automobile - assistance,passenger car maintenance,0.6433748961
automobile - assistance,ferry,0.6427515664
automobile - assistance,"maintenance, motor scooter",0.6425831846
repair garage services,"maintenance, light commercial vehicle",0.658821321
repair garage services,"maintenance, bus",0.6572898406
repair garage services,"maintenance, motor scooter",0.6569748214
repair garage services,"maintenance, passenger car, electric, without battery",0.6565713138
repair garage services,passenger car maintenance,0.6562409027
"casting, steel","steel removed by drilling, computer numerical controlled",0.6743039457
"casting, steel","casting, brass",0.6740095828
"casting, steel","steel, chromium steel 18/8, hot rolled",0.6735955096
"casting, steel","steel removed by turning, primarily dressing, computer numerical controlled",0.6734970702
"casting, steel","steel removed by turning, average, computer numerical controlled",0.672772396
food safety,protein pea,0.6633877619
food safety,"protein pea, Swiss integrated production",0.6604757508
food safety,"protein pea, feed, Swiss integrated production",0.6600019865
food safety,"protein feed, 100% crude",0.655458771
food safety,dairy,0.6552740111
personal coach,propanal,0.6353334549
personal coach,lead,0.6340091274
personal coach,folpet,0.6340052858
personal coach,"operation, computer, laptop, videoconference",0.633920792
personal coach,captan,0.6331342643
zinc electroplating,"zinc coat, pieces",0.663141894
zinc electroplating,"zinc coat, coils",0.6610527093
zinc electroplating,"zinc coat, pieces, adjustment per micro-m",0.6607854185
zinc electroplating,zinc,0.6606590981
zinc electroplating,"titanium zinc plate, without pre-weathering",0.6600574199
sheet metal handling,"section bar rolling, steel",0.6626424744
sheet metal handling,"sheet rolling, steel",0.6619832438
sheet metal handling,"steel removed by turning, average, computer numerical controlled",0.6608075983
sheet metal handling,"steel removed by turning, primarily roughing, computer numerical controlled",0.660138696
sheet metal handling,"steel removed by turning, primarily dressing, computer numerical controlled",0.6597356124
automobile dealer,road vehicle factory,0.6508381726
automobile dealer,"maintenance, motor scooter",0.6495621037
automobile dealer,"maintenance, passenger car, electric, without battery",0.6451299973
automobile dealer,"maintenance, light commercial vehicle",0.6450997534
automobile dealer,"road, company, internal",0.6438685729
refrigeration plant maintenance,"maintenance, refrigeration machine",0.6574169024
refrigeration plant maintenance,"refrigeration machine, R134a as refrigerant",0.6473559301
refrigeration plant maintenance,"maintenance, train, passenger, high-speed",0.6448250863
refrigeration plant maintenance,"maintenance, transmission network, electricity, high voltage direct current aerial line",0.6445870383
refrigeration plant maintenance,"maintenance, mini CHP plant",0.6444398205
blasting media recovery machines,blasting,0.6409369429
blasting media recovery machines,rock crushing,0.6408172147
blasting media recovery machines,de-icer,0.6371312092
blasting media recovery machines,terrain chipper on forwarder,0.6364521696
blasting media recovery machines,"blast furnace dust, for recovery",0.6363046663
sieving machines,internet access equipment,0.6405320596
sieving machines,"operation, internet access equipment",0.6402041723
sieving machines,"machine operation, diesel, < 18.64 kW, steady-state",0.637579882
sieving machines,"delimbing/sorting, excavator-based processor",0.6373603764
sieving machines,"machine, for treatment of waste electric and electronic equipment",0.6367072252
stainless steel boilerwork for decoration,"spiral-seam duct, steel, DN 125",0.6509558686
stainless steel boilerwork for decoration,"spiral-seam duct, steel, DN 400",0.6503831739
stainless steel boilerwork for decoration,"contouring, brass",0.6492285084
stainless steel boilerwork for decoration,"steel removed by turning, primarily dressing, computer numerical controlled",0.6473683656
stainless steel boilerwork for decoration,"cladding, crossbar-pole, aluminium",0.6470899291
chip chandler,"inductor, miniature radio frequency chip",0.6370669134
chip chandler,"inductor, low value multilayer chip",0.6300771403
chip chandler,"wood chipping, forwarder with terrain chipper, in forest",0.629977072
chip chandler,"wood chips, dry, measured as dry mass",0.6286452321
chip chandler,castor bean,0.6283827424
automotive,"internal combustion engine, passenger car",0.663817805
automotive,road vehicle factory,0.6557054233
automotive,"used internal combustion engine, passenger car",0.6535863245
automotive,"road wear emissions, passenger car",0.6531996181
automotive,passenger car maintenance,0.6528794271
"substations, high-voltage","electricity, low voltage",0.6653211893
"substations, high-voltage","electricity, medium voltage",0.6646755633
"substations, high-voltage","electricity, high voltage",0.6628298697
"substations, high-voltage","transformer, high voltage use",0.6606349465
"substations, high-voltage","transformer, low voltage use",0.6603316633
street furniture,"furniture, wooden",0.6732212308
street furniture,"wood cladding, softwood",0.6591544139
street furniture,plywood,0.6550643116
street furniture,"wooden board factory, organic bonded boards",0.6540322941
street furniture,"sawnwood, softwood, raw",0.6525233164
special events communication,intral,0.644755959
special events communication,"operation, computer, laptop, videoconference",0.6434199181
special events communication,television,0.6414707697
special events communication,captan,0.6400321072
special events communication,internet access equipment,0.637093479
emergency pollution clearance service,"air filter, decentralized unit, 250 m3/h",0.6429216293
emergency pollution clearance service,"air filter, decentralized unit, 180-250 m3/h",0.6425607731
emergency pollution clearance service,sanitary landfill facility,0.6413177407
emergency pollution clearance service,air separation facility,0.6394408889
emergency pollution clearance service,"used air filter decentralized unit, 250 m3/h",0.6392980542
multiple plants,planting tree,0.653976894
multiple plants,bamboo culm,0.6539607686
multiple plants,cauliflower,0.6535641101
multiple plants,"willow stem cutting, for planting",0.6526996723
multiple plants,"grass, organic",0.6520999676
mechanically welded constructions,"welding, arc, steel",0.6588593908
mechanically welded constructions,"steel removed by turning, primarily dressing, computer numerical controlled",0.6583823413
mechanically welded constructions,"steel removed by turning, primarily roughing, computer numerical controlled",0.6583315641
mechanically welded constructions,"steel removed by drilling, computer numerical controlled",0.6564730081
mechanically welded constructions,"steel removed by turning, primarily roughing, conventional",0.6541958029
customised laser working,"laser machining, metal, with YAG-laser, 60W power",0.6659690652
customised laser working,"laser machining, metal, with YAG-laser, 30W power",0.665924801
customised laser working,"laser machining, metal, with YAG-laser, 50W power",0.665712231
customised laser working,"laser machining, metal, with YAG-laser, 120W power",0.6656689346
customised laser working,"laser machining, metal, with YAG-laser, 40W power",0.6656302202
biscuit consultant,breadcrumbs,0.6383132164
biscuit consultant,milking parlour,0.6375839455
biscuit consultant,"chipper, stationary, electric",0.6370325497
biscuit consultant,paraffin,0.636161093
biscuit consultant,almond,0.6349164084
"foods, macrobiotic","protein feed, 100% crude",0.6755691041
"foods, macrobiotic","protein pea, organic",0.6737517098
"foods, macrobiotic",meat and bone meal,0.673592356
"foods, macrobiotic","fishmeal, 63-65% protein",0.6730256978
"foods, macrobiotic","fishmeal, 65-67% protein",0.6727841028
colour free preservative free drink,green liquor dregs,0.6563607334
colour free preservative free drink,"soda ash, light",0.6509565187
colour free preservative free drink,"fluorescent whitening agent, distyrylbiphenyl type",0.6509183375
colour free preservative free drink,"alkyd paint, white, without water, in 60% solution state",0.649154976
colour free preservative free drink,"ethylvinylacetate, foil",0.6490735731
plastic filter nozzles,"air filter, in exhaust air valve",0.6533027464
plastic filter nozzles,"air filter, decentralized unit, 180-250 m3/h",0.6524423544
plastic filter nozzles,"air filter, decentralized unit, 250 m3/h",0.6510435349
plastic filter nozzles,used air filter in exhaust air valve,0.6503512874
plastic filter nozzles,"used air filter decentralized unit, 180-250 m3/h",0.6493738321
tar construction materials,coal tar,0.6647617198
tar construction materials,"steel removed by drilling, computer numerical controlled",0.6530813767
tar construction materials,"steel removed by drilling, conventional",0.6503465772
tar construction materials,"sawnwood, softwood, raw",0.6497324537
tar construction materials,scrap steel,0.649516358
gold tokens,"gold, unrefined",0.6669363921
gold tokens,"gold-silver, ingot",0.6613335336
gold tokens,gold,0.6603999379
gold tokens,bronze,0.6531583023
gold tokens,"silver, unrefined",0.6522180107
paper - art,"graphic paper, 100% recycled",0.677481702
paper - art,kraft paper,0.6726937519
paper - art,paper machine,0.6725531694
paper - art,waste graphical paper,0.6715963103
paper - art,tissue paper,0.6715064479
fuel oils,light fuel oil,0.6744912782
fuel oils,heavy fuel oil,0.6701057036
fuel oils,petroleum,0.6653531945
fuel oils,base oil,0.6651758218
fuel oils,"vegetable oil, refined",0.662991883
metal shed,metal working factory,0.6687964939
metal shed,"metal working machine, unspecified",0.665375074
metal shed,"metal working, average for copper product manufacturing",0.6634492959
metal shed,"metal working, average for steel product manufacturing",0.6620322377
metal shed,scrap copper,0.6613803864
aromatic plants,"eucalyptus seedling, for planting",0.6538673676
aromatic plants,phenolic resin,0.6519706102
aromatic plants,"miscanthus rhizome, for planting",0.65069006
aromatic plants,planting tree,0.6503121735
aromatic plants,green asparagus,0.6495384844
stainless steel pipe,chromium steel pipe,0.6570670243
stainless steel pipe,"drawing of pipe, steel",0.651554058
stainless steel pipe,"spiral-seam duct, steel, DN 125",0.6507261371
stainless steel pipe,"spiral-seam duct, steel, DN 400",0.650676213
stainless steel pipe,"welding, arc, steel",0.6473312326
"tile, porcelain",ceramic tile,0.67877994
"tile, porcelain",roof tile,0.6699302245
"tile, porcelain",cement tile,0.6671094698
"tile, porcelain",concrete roof tile,0.6658879855
"tile, porcelain","frit, for ceramic tile",0.6651797639
"fish, frozen","fish freezing, small fish",0.6782902933
"fish, frozen","frozen fish sticks, hake",0.6725219003
"fish, frozen","landed tuna, frozen, EPO",0.6697151083
"fish, frozen","small pelagic fish, fresh",0.6651948185
"fish, frozen","trout feed, 42% protein",0.6633698389
photovoltaic module for boats,"photovoltaic module, building-integrated, for slanted-roof installation",0.6681396124
photovoltaic module for boats,"photovoltaic mounting system, for 570kWp open ground module",0.6662054762
photovoltaic module for boats,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",0.6654180156
photovoltaic module for boats,"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof",0.6645785794
photovoltaic module for boats,"photovoltaics, electric installation for 3kWp module, at building",0.6641456476
nuts,"wood chips and particles, willow",0.6598099902
nuts,"peanut seed, for sowing",0.6576246996
nuts,millet,0.6572169684
nuts,chickpea,0.6555788518
nuts,cashew,0.6552148443
writing envelopes,paper sack,0.654889194
writing envelopes,printed paper,0.6529288326
writing envelopes,tissue paper,0.6528795568
writing envelopes,"paper, woodfree, uncoated",0.6519651571
writing envelopes,"paper, newsprint",0.6494335779
natural gas,coal gas,0.6728855412
natural gas,liquefied petroleum gas,0.6705278872
natural gas,"natural gas, liquefied",0.6702409368
natural gas,"natural gas, unprocessed, at extraction",0.669674554
natural gas,"natural gas, vented",0.6695982317
"packaging materials, cardboard",waste packaging paper,0.6708054949
"packaging materials, cardboard","packaging film, low density polyethylene",0.6695340208
"packaging materials, cardboard",packaging box factory,0.6669805554
"packaging materials, cardboard",folding boxboard carton,0.6661135146
"packaging materials, cardboard",kraft paper,0.66419042
stationary consumables,"straw, stand-alone production",0.6519230974
stationary consumables,"straw, organic",0.6456300101
stationary consumables,"consumer electronics, mobile device, smartphone",0.6436840475
stationary consumables,"containerboard, fluting medium",0.6434453688
stationary consumables,"maintenance, intermodal shipping container, 40-foot, high-cube",0.6433885063
"cars, electrical parts","electric parts, heat and power co-generation unit, 160kW electrical",0.6684859054
"cars, electrical parts","electronic component machinery, unspecified",0.6674459897
"cars, electrical parts","electric parts, mini CHP plant",0.6673219341
"cars, electrical parts",electronics scrap from control units,0.6647811192
"cars, electrical parts","powertrain, for electric passenger car",0.6647807112
seafood mix,"fish canning, large fish",0.6580389623
seafood mix,"fish canning, small fish",0.6578895855
seafood mix,"trout feed, 42% protein",0.6545336918
seafood mix,"fishmeal, 63-65% protein",0.6541551557
seafood mix,"fishmeal, 65-67% protein",0.6541145321
lamps,ultraviolet lamp,0.6669383241
lamps,used fluorescent lamp,0.6644754072
lamps,compact fluorescent lamp,0.6626943888
lamps,inert gas for discharge lamps,0.6594629692
lamps,light emitting diode,0.6527011942
detergents,mustard,0.6577365191
detergents,mancozeb,0.6550694316
detergents,sodium,0.654389472
detergents,refrigerant R134a,0.6540455781
detergents,"refrigeration machine, R134a as refrigerant",0.6533514584
trailers for industrial vehicles,agricultural trailer,0.6644568665
trailers for industrial vehicles,"fodder loading, by self-loading trailer",0.6643422262
trailers for industrial vehicles,liquid manure tank trailer,0.6624171027
trailers for industrial vehicles,"transport, tractor and trailer, agricultural",0.6590913152
trailers for industrial vehicles,"maintenance, goods wagon",0.6571982852
titanium,"titanium, triple-melt",0.6762359622
titanium,titanium,0.6742071918
titanium,"titanium zinc plate, without pre-weathering",0.6725961807
titanium,titanium tetrachloride,0.6639353426
titanium,titanium dioxide,0.6633507059
"coaches, building","building operation, hostel",0.6508168037
"coaches, building","maintenance, bus",0.6495397001
"coaches, building","maintenance, train, passenger, high-speed",0.6459831065
"coaches, building",building machine,0.6451726319
"coaches, building",bus,0.6451639253
"lorries, building","building operation, hostel",0.6597832576
"lorries, building","maintenance, goods wagon",0.65824802
"lorries, building","maintenance, lorry 40 metric ton",0.6563300849
"lorries, building","lorry, 40 metric ton",0.6563026533
"lorries, building","maintenance, lorry 16 metric ton",0.6559765441
wafers,"wafer, fabricated, for integrated circuit",0.6639567233
wafers,multi-Si wafer,0.6564253989
wafers,wafer factory,0.6563965427
wafers,"single-Si wafer, for electronics",0.6504885909
wafers,"single-Si wafer, photovoltaic",0.6475542827
horns,horn meal,0.6471012625
horns,brass,0.6403762805
horns,"electronic component, passive, mobile, earpiece and speaker",0.6402500649
horns,"contouring, brass",0.6372886383
horns,"solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry",0.6365635436
briquettes,lignite briquettes,0.655270323
briquettes,lignite briquettes factory,0.649254283
briquettes,aubergine,0.6468197062
briquettes,refrigerant R134a,0.6374874108
briquettes,polybutadiene,0.6374412948
provitamins,prosulfocarb,0.6495707524
provitamins,"power saw, without catalytic converter",0.6431636247
provitamins,"power saw, with catalytic converter",0.6423722833
provitamins,"silicon, solar grade",0.6411858517
provitamins,refrigerant R134a,0.6411174372
sharpening metals,"steel removed by turning, average, computer numerical controlled",0.6645593782
sharpening metals,"steel removed by turning, primarily roughing, computer numerical controlled",0.6634438276
sharpening metals,"steel removed by drilling, computer numerical controlled",0.6634128566
sharpening metals,"chromium steel removed by turning, primarily roughing, computer numerical controlled",0.6626533045
sharpening metals,"steel removed by turning, primarily dressing, computer numerical controlled",0.6625897544
platinum,platinum,0.6891574647
platinum,gold,0.6614128329
platinum,"gold-silver, ingot",0.6517660385
platinum,bronze,0.6501968237
platinum,silver,0.6488386384
hats,"yarn, kenaf",0.6481668949
hats,"yarn, silk",0.6462589477
hats,glass wool mat,0.6458019186
hats,"selective coat, copper sheet, black majic",0.6449258046
hats,"bleaching and dyeing, yarn",0.6440017462
anhydric acids,ascorbic acid,0.6639970656
anhydric acids,anhydrite,0.6633685611
anhydric acids,adipic acid,0.6626729004
anhydric acids,acetic anhydride,0.6626643901
anhydric acids,phthalic anhydride,0.6624565634
office furnishings,"furniture, wooden",0.6756572048
office furnishings,"wood cladding, softwood",0.6667715927
office furnishings,"shavings, hardwood, loose, measured as dry mass",0.6575902914
office furnishings,"joist, engineered wood",0.6566021756
office furnishings,"used door, inner, wood",0.6562765459
biogas,biogas,0.6824440891
biogas,"biogas, from grass",0.6709522044
biogas,"biowaste, garden waste",0.6606545825
biogas,"biowaste, kitchen and garden waste",0.6593556028
biogas,"heat, central or small-scale, biomethane",0.6579830956
pre-recorded audio,"electronic component, passive, mobile, earpiece and speaker",0.6467664678
pre-recorded audio,"printed wiring board, through-hole mounted, unspecified, Pb free",0.6410497719
pre-recorded audio,"printed wiring board, through-hole mounted, unspecified, Pb containing",0.6399897006
pre-recorded audio,"sound insulation, heat and power co-generation unit, 160kW electrical",0.6399780285
pre-recorded audio,"printed wiring board, surface mounted, unspecified, Pb free",0.6396436949
storage tents,"shed, large, wood, non-insulated, fire-unprotected",0.655575372
storage tents,agricultural trailer,0.6462994631
storage tents,cocoons,0.6456239094
storage tents,"operation, dried roughage store, non ventilated",0.6446643596
storage tents,air separation facility,0.6440232604
crushed ice,de-icer,0.6557183755
crushed ice,"gravel, crushed",0.649397691
crushed ice,"impact extrusion of steel, warm, initial warming",0.6492747057
crushed ice,rock crushing,0.6472829674
crushed ice,"operation, reefer, freezing",0.6472485042
ceramics for coatings,coating powder,0.6639207877
ceramics for coatings,sanitary ceramics,0.663840943
ceramics for coatings,ceramic tile,0.6622755167
ceramics for coatings,metal coating facility,0.661322905
ceramics for coatings,"chromium oxide, flakes",0.6591077376
damaged cars,manual dismantling of used passenger car with internal combustion engine,0.6588376638
damaged cars,manual dismantling of used electric passenger car,0.6575765139
damaged cars,passenger car maintenance,0.6551588442
damaged cars,"maintenance, passenger car, electric, without battery",0.6503564573
damaged cars,"internal combustion engine, passenger car",0.6491952963
"meats, cured","red meat, live weight",0.6787469686
"meats, cured",meat and bone meal,0.6772445721
"meats, cured","chicken for slaughtering, live weight",0.6713145143
"meats, cured","cattle for slaughtering, live weight",0.667548333
"meats, cured","cheese, from cow milk, fresh, unripened",0.6662472959
"chocolates, filled",green liquor dregs,0.655808776
"chocolates, filled","lime, hydrated, packed",0.6532852497
"chocolates, filled",white lined chipboard carton,0.6532064621
"chocolates, filled",beverage carton converting,0.652189499
"chocolates, filled",breadcrumbs,0.6509290943
gold ingots,"gold-silver, ingot",0.6665951885
gold ingots,"gold, unrefined",0.6582261026
gold ingots,"mine infrastructure, gold-silver-zinc-lead-copper",0.654647155
gold ingots,gold,0.6524486171
gold ingots,"mine infrastructure, gold and silver",0.6521480231
mushrooms,white asparagus,0.6519840438
mushrooms,iceberg lettuce,0.6494342988
mushrooms,flax husks,0.6493228113
mushrooms,green asparagus,0.6484028443
mushrooms,"zirconium sponge, nuclear-grade",0.6481673386
acacia honey,mango,0.6468097455
acacia honey,"eucalyptus seedling, for planting",0.6460520912
acacia honey,jatropha seed,0.6455186365
acacia honey,"sawnwood, paran� pine, dried (u=10%)",0.6436256707
acacia honey,"sawnwood, softwood, raw",0.6423810205
car cleaning product,manual dismantling of used passenger car with internal combustion engine,0.6637870382
car cleaning product,"maintenance, refrigeration machine",0.6607375166
car cleaning product,"brake wear emissions, passenger car",0.6599499902
car cleaning product,"road wear emissions, passenger car",0.6598372869
car cleaning product,"brake wear emissions, lorry",0.6587241651
"rods, threaded","cable, ribbon cable, 20-pin, with plugs",0.6589994084
"rods, threaded","aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",0.6546261628
"rods, threaded","aluminium around steel bi-metal wire, 3.67mm external diameter",0.6514608819
"rods, threaded","wire drawing, steel",0.6504075649
"rods, threaded","electric connector, wire clamp",0.6501722784
lithium carbonate,lithium carbonate,0.6835111068
lithium carbonate,lithium sulfate,0.6728405173
lithium carbonate,"lithium brine, 6.7 % Li",0.6703289522
lithium carbonate,lithium manganese oxide,0.6694935228
lithium carbonate,lithium iron phosphate,0.6694659882
prototype textile,"textile, knit cotton",0.6713850464
prototype textile,"textile, woven cotton",0.6695185579
prototype textile,"textile, nonwoven polyester",0.6691131516
prototype textile,"textile, nonwoven polypropylene",0.6686377189
prototype textile,"finishing, textile, woven cotton",0.6684464247
medical laboratories,"electrode, positive, LaNi5",0.6525013987
medical laboratories,"electrode, negative, LiC6",0.6442059236
medical laboratories,uranium enrichment centrifuge facility,0.6402008245
medical laboratories,"electrode, negative, Ni",0.6392416489
medical laboratories,"operation, computer, laptop, videoconference",0.6368185568
salads,mustard,0.6533447885
salads,rape meal,0.6530203127
salads,celery,0.6523726992
salads,"tilapia feed, 24-28% protein",0.6517929994
salads,meat and bone meal,0.6504680793
plant health treatments,"weed control, by brush cutter, pasture",0.6501439232
plant health treatments,sunflower seed,0.6492143133
plant health treatments,mancozeb,0.6486234805
plant health treatments,green asparagus,0.6483704748
plant health treatments,fish curing plant,0.6482128954
riding clothes,"selective coat, copper sheet, black majic",0.6505804479
riding clothes,wood wool,0.6473612248
riding clothes,"textile, silk",0.6472858676
riding clothes,"textile, nonwoven polyester",0.6466592829
riding clothes,"yarn, silk",0.6465227397
photovoltaic panels,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",0.6752244236
