Activity UUID_Product UUID;Activity Name;Geography;Reference Product Name
3d693d90-7f15-52c5-a78e-b2857f8896ed_acfc9f7e-a0d7-4120-af03-a1bf03311db0;containerboard production, linerboard, kraftliner;RoW;tall oil, crude
3d693d90-7f15-52c5-a78e-b2857f8896ed_43918f35-ec6f-4054-898b-c381aa071e93;containerboard production, linerboard, kraftliner;RoW;turpentine
d72d3c90-f3f9-5c50-bc5f-f4315f3a8c34_399489c2-92d1-4b5f-91ca-c23dafc52f4e;containerboard production, linerboard, kraftliner;RER;containerboard, linerboard
d72d3c90-f3f9-5c50-bc5f-f4315f3a8c34_acfc9f7e-a0d7-4120-af03-a1bf03311db0;containerboard production, linerboard, kraftliner;RER;tall oil, crude
d72d3c90-f3f9-5c50-bc5f-f4315f3a8c34_43918f35-ec6f-4054-898b-c381aa071e93;containerboard production, linerboard, kraftliner;RER;turpentine
d1153428-f9a6-58fa-aae8-a0d369582340_399489c2-92d1-4b5f-91ca-c23dafc52f4e;containerboard production, linerboard, testliner;CA-QC;containerboard, linerboard
84720271-4dc1-5ed6-98c4-597ea3e0a7fa_399489c2-92d1-4b5f-91ca-c23dafc52f4e;containerboard production, linerboard, testliner;RoW;containerboard, linerboard
dd8f403a-a50e-5c5b-802f-7ca3f4b92edd_399489c2-92d1-4b5f-91ca-c23dafc52f4e;containerboard production, linerboard, testliner;RER;containerboard, linerboard
3c74db22-380d-5033-9d64-1d4abc4c7095_8a37912f-2853-4b11-9270-813af7080e25;containerboard production, unspecified;US;containerboard, unspecified
3c74db22-380d-5033-9d64-1d4abc4c7095_759b89bd-3aa6-42ad-b767-5bb9ef5d331d;containerboard production, unspecified;US;electricity, medium voltage
3c74db22-380d-5033-9d64-1d4abc4c7095_acfc9f7e-a0d7-4120-af03-a1bf03311db0;containerboard production, unspecified;US;tall oil, crude
3c74db22-380d-5033-9d64-1d4abc4c7095_43918f35-ec6f-4054-898b-c381aa071e93;containerboard production, unspecified;US;turpentine
7309f22b-987a-560b-bec7-7abe312df1db_3ad50a22-b9bd-4cbc-891d-49bcdad17f6c;continuous dyeing, fibre, cotton;GLO;continuous dyeing, fibre, cotton
5225141f-6097-594a-bb22-fbda90e50683_ef7d455e-a506-48a9-bb01-117b1a8fb996;contouring, brass;CA-QC;contouring, brass
b2aee883-7e80-5f2b-b5c8-f2bb8d395a34_ef7d455e-a506-48a9-bb01-117b1a8fb996;contouring, brass;RoW;contouring, brass
f1630da6-4c2d-5eec-880e-52a7bc3ee32d_ef7d455e-a506-48a9-bb01-117b1a8fb996;contouring, brass;RER;contouring, brass
745d144d-ecd0-5faf-88ca-ca13f40b958c_6ad2240e-f820-4ac8-9596-97dac195cb3a;contouring, bronze;CA-QC;contouring, bronze
6774e54f-215c-524f-8926-7f989699ad0b_6ad2240e-f820-4ac8-9596-97dac195cb3a;contouring, bronze;RoW;contouring, bronze
39c66280-b332-5311-8a12-452a8f158701_6ad2240e-f820-4ac8-9596-97dac195cb3a;contouring, bronze;RER;contouring, bronze
da2ac4ee-ab4b-5000-9238-179912c96555_f300bf9e-ce80-4fcc-8452-6a58eebf4105;control cabinet production, heat and power co-generation unit, 160kW electrical;RoW;control cabinet, heat and power co-generation unit, 160kW electrical
2d0d8feb-7e09-56b4-a28d-8cb3c08a443d_f300bf9e-ce80-4fcc-8452-6a58eebf4105;control cabinet production, heat and power co-generation unit, 160kW electrical;RER;control cabinet, heat and power co-generation unit, 160kW electrical
fa69d39b-4865-5ae6-bd51-fc7a48bbb666_151b224c-4c4c-405c-bef5-bc7136084e39;controller production, for electric scooter;GLO;controller, for electric scooter
a270151a-4c48-59ae-a884-145fe5be2d68_db6cedc8-1f82-4c82-9036-087feec579f5;converter production, for electric passenger car;GLO;converter, for electric passenger car
7b9b354c-db79-582b-a6aa-2f818c7524c4_26f457d5-9138-4502-a0b5-a3726ca8efa6;conveyor belt production;RoW;conveyor belt
624b97bd-7fa6-544a-b4f9-f2b218260ff0_26f457d5-9138-4502-a0b5-a3726ca8efa6;conveyor belt production;RER;conveyor belt
b8d3f832-0f75-5a20-8737-109867811d53_cf47d9e8-58e4-41f9-bde9-4f938fdc8c7b;cookstove production, gas or electric;GLO;cookstove
bf5b7353-f327-5eb4-8b9e-8ec95de1dc69_f0adb921-f198-4d7f-9c03-0964f368ae93;cooling energy production, at -100 °C, R-134a-carbon dioxide-ethylene compression refrigeration system 1 MW;GLO;cooling energy, at -100 °C
be570c28-777d-5f1f-b89b-132ca8a58ec8_f0adb921-f198-4d7f-9c03-0964f368ae93;cooling energy production, at -100 °C, propylene-ethylene compression refrigeration system 1 MW;GLO;cooling energy, at -100 °C
0c024f8a-9cd6-5017-b055-2386eba95dee_dcbda145-79d5-5c71-9535-4b259732bbd9;cooling energy production, at -15 °C, R-134a compression refrigeration system 1 MW;GLO;cooling energy, at -15 °C
a0a552b1-633f-5176-ba9b-7e521649e231_b001c45d-f7ff-45f0-8de1-a782e0edd6ec;cooling energy production, at -160 °C, propylene-ethylene-methane compression refrigeration system 1 MW;GLO;cooling energy, at -160 °C
46ff5c10-75d0-5fe6-886d-0ced49a8ed1d_1a91a3f0-e00c-57f0-b1ca-3abeee777b65;cooling energy production, at -25 °C, ammonia compression refrigeration system 1 MW;GLO;cooling energy, at -25 °C
7c2a939c-9669-5e26-919a-ab60304f87e7_1a91a3f0-e00c-57f0-b1ca-3abeee777b65;cooling energy production, at -25 °C, propylene compression refrigeration system 1 MW;GLO;cooling energy, at -25 °C
c3004038-16d9-5380-855e-070a85c3228e_821fb514-83b4-5f85-9ef1-55f6805e24f9;cooling energy production, at -45 °C, R-134a compression refrigeration system 1 MW;GLO;cooling energy, at -45 °C
020de120-a12e-5344-9b35-f700beac5682_821fb514-83b4-5f85-9ef1-55f6805e24f9;cooling energy production, at -45 °C, propylene compression refrigeration system 1 MW;GLO;cooling energy, at -45 °C
dda3e120-4860-532a-9ed0-4459181fb453_4c5bbf3e-842b-568a-ab9e-a7c3c92a27c1;cooling energy production, at -55 °C, propylene-ethylene compression refrigeration system 1 MW;GLO;cooling energy, at -55 °C
77df60ab-6a1c-5630-9e53-2e4783fb2404_9c5b9099-11e9-4a60-af91-c0346cdf9395;cooling energy, from natural gas, at cogen unit with absorption chiller 100kW;CH;cooling energy
8e0a9631-e02b-505a-8e5d-49fc5aeb5077_9c5b9099-11e9-4a60-af91-c0346cdf9395;cooling energy, from natural gas, at cogen unit with absorption chiller 100kW;RoW;cooling energy
25f9691f-f403-54ec-bf15-1fafd136f3ea_01bf4427-e5d5-477b-8619-aae3b94bc48a;copper carbonate production;RoW;copper carbonate
dd2eb80e-b3fb-59db-a6e3-342b584ebc68_01bf4427-e5d5-477b-8619-aae3b94bc48a;copper carbonate production;RER;copper carbonate
eff23d33-51d9-5ceb-aafe-867113f38fd9_d47b1a19-22dc-4950-bf7d-e499205bb957;copper collector foil production, for Li-ion battery;GLO;copper collector foil, for Li-ion battery
fbe40fa3-6ca2-5a1f-8c13-46af1cca7c74_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;AU;copper concentrate, sulfide ore
494aa803-4ab1-5f78-930e-1cedfe6e23ba_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;CA;copper concentrate, sulfide ore
494aa803-4ab1-5f78-930e-1cedfe6e23ba_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;CA;molybdenite
2aece7f5-47f3-5072-b647-5c319af84224_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;CL;copper concentrate, sulfide ore
2aece7f5-47f3-5072-b647-5c319af84224_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;CL;molybdenite
e231dbdc-68da-5f6a-b994-81363c175884_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;CN;copper concentrate, sulfide ore
e231dbdc-68da-5f6a-b994-81363c175884_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;CN;molybdenite
06406932-1b1f-570d-ab98-9f3c8355bb73_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;ID;copper concentrate, sulfide ore
048e8de0-d492-5529-9459-cee51a46b7aa_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;KZ;copper concentrate, sulfide ore
ce67ba00-9717-51fd-9573-305a29ab1ffe_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;RU;copper concentrate, sulfide ore
ce67ba00-9717-51fd-9573-305a29ab1ffe_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;RU;molybdenite
476fc419-daae-5cb0-874e-a4af8fba3ee4_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;RoW;copper concentrate, sulfide ore
476fc419-daae-5cb0-874e-a4af8fba3ee4_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;RoW;molybdenite
848c507a-bf63-55fe-806c-cce2ec49e197_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;US;copper concentrate, sulfide ore
848c507a-bf63-55fe-806c-cce2ec49e197_759783e0-89c4-486e-970a-5dcb2de165de;copper mine operation and beneficiation, sulfide ore;US;molybdenite
c8f6c458-8740-5cb3-a0f7-12e27e51456c_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;copper mine operation and beneficiation, sulfide ore;ZM;copper concentrate, sulfide ore
08b51da6-6ce9-55ae-a0d9-062175d86f18_f1e0a8f1-aa97-4de6-a715-9c63acd1b6d4;copper oxide production;RoW;copper oxide
865dc2f9-46eb-5e5a-8fbd-73061c0101a0_f1e0a8f1-aa97-4de6-a715-9c63acd1b6d4;copper oxide production;RER;copper oxide
f93e65fa-68d7-5723-b3f6-b8d27c3dd42c_fbb039f7-f9cc-46d2-b631-313ddb125c1a;copper production, cathode, solvent extraction and electrowinning process;GLO;copper, cathode
f93e65fa-68d7-5723-b3f6-b8d27c3dd42c_9d63da75-8289-4b96-a900-67ec3bd40a16;copper production, cathode, solvent extraction and electrowinning process;GLO;sulfuric acid
540d651c-2a1c-5443-b2f8-c65a2a65d135_cc0d4252-6207-41d6-8567-bcbad58a7bef;copper scrap, sorted, pressed, Recycled Content cut-off;GLO;copper scrap, sorted, pressed
13011b10-e2f2-5b23-a657-b0878440a58f_eb002431-2e1f-4b72-91d8-9a4bb6b17c0b;copper smelting facility construction;RoW;copper smelting facility
7d882498-11d1-5388-bcd1-da91bd9c1540_eb002431-2e1f-4b72-91d8-9a4bb6b17c0b;copper smelting facility construction;SE;copper smelting facility
5a2aea83-c2fa-5596-ab60-ff190eab8948_38646d90-4680-4034-b60a-ccb48a2f6853;copper sulfate production;GLO;copper sulfate
2c34e61c-e6bc-5693-bf15-54950620f4d2_e0333848-5397-4b8b-a304-108a3e1ac1ee;copper, anode to generic market for copper-rich materials;GLO;copper-rich materials
9a74ca3b-81a2-592f-a962-4ec58f01c9fe_46b5cbca-747e-4648-a10e-39d746e7b34c;core board production;CA-QC;core board
deb97539-9bb9-50a9-99c3-786fa74d6839_46b5cbca-747e-4648-a10e-39d746e7b34c;core board production;RoW;core board
79903914-0cee-5505-895c-1cbc31cb57a2_46b5cbca-747e-4648-a10e-39d746e7b34c;core board production;RER;core board
6b42c981-8a70-5b0b-aeba-52fec27cd3ee_22cdbdf8-05c7-4410-9eff-7b12ff1877b3;coriander production;RoW;coriander
1ce983fd-a93f-54f3-bce8-1d09c5a0d4a6_22cdbdf8-05c7-4410-9eff-7b12ff1877b3;coriander production;IN;coriander
29d38404-1260-5813-a549-345b82cc169f_1fb2e33c-efb6-42f9-99e0-f9024ace9fcc;cork forestry;RoW;cleft timber, measured as dry mass
29d38404-1260-5813-a549-345b82cc169f_065d2e72-48d3-4791-9a60-ad15a99b9c57;cork forestry;RoW;cork, raw
de10157c-9b66-53fd-89c3-4ab02d5604d4_1fb2e33c-efb6-42f9-99e0-f9024ace9fcc;cork forestry;PT;cleft timber, measured as dry mass
de10157c-9b66-53fd-89c3-4ab02d5604d4_065d2e72-48d3-4791-9a60-ad15a99b9c57;cork forestry;PT;cork, raw
9e2604c6-c553-5b82-bc61-587a7ffea830_344057fa-e494-4211-86f4-8538590fd559;cork slab production;RoW;cork slab
061dadc7-f368-5694-b88e-cf0ebfd9d0d2_344057fa-e494-4211-86f4-8538590fd559;cork slab production;RER;cork slab
c93d16e2-12d5-51f4-bcb1-7459d9d19c05_ca213807-7c00-4537-ac8c-23d39d0f2bd5;corrugated board box production;CA-QC;corrugated board box
ff737ba1-5c96-5cd9-9f47-377a792fbfab_ca213807-7c00-4537-ac8c-23d39d0f2bd5;corrugated board box production;RoW;corrugated board box
f9f738de-60c3-591d-879a-695cd79ed0af_ca213807-7c00-4537-ac8c-23d39d0f2bd5;corrugated board box production;RER;corrugated board box
61e69d44-e647-57f1-86a7-a2f52031217b_ca213807-7c00-4537-ac8c-23d39d0f2bd5;corrugated board box production;US;corrugated board box
038c00bb-b539-5cd0-af61-54783688ba55_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed meal to generic market for protein feed;GLO;energy feed, gross
038c00bb-b539-5cd0-af61-54783688ba55_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed meal to generic market for protein feed;GLO;protein feed, 100% crude
2cf6c601-c816-5797-831d-f7c789d7ec1d_47ff0220-6194-47f6-8bfe-6be6fb39b484;cottonseed oil mill operation;RoW;cottonseed meal
2cf6c601-c816-5797-831d-f7c789d7ec1d_6051f864-9708-4f2d-8f3d-9cb7a3f75261;cottonseed oil mill operation;RoW;cottonseed oil, crude
0bf4d8c0-e4d6-50ce-ac2f-77880b3da33d_47ff0220-6194-47f6-8bfe-6be6fb39b484;cottonseed oil mill operation;IN;cottonseed meal
0bf4d8c0-e4d6-50ce-ac2f-77880b3da33d_6051f864-9708-4f2d-8f3d-9cb7a3f75261;cottonseed oil mill operation;IN;cottonseed oil, crude
96801345-e5c0-544e-931e-303b7820e3ee_55c80a3e-016d-4de4-b3d5-eda20b1b1675;cottonseed oil refinery operation;RoW;cottonseed oil, refined
96801345-e5c0-544e-931e-303b7820e3ee_3372cdea-bef5-4186-9ae6-b67a016aa67d;cottonseed oil refinery operation;RoW;soap
9fd0f562-c05c-5cb1-99f7-cb49abaac8e9_55c80a3e-016d-4de4-b3d5-eda20b1b1675;cottonseed oil refinery operation;US;cottonseed oil, refined
9fd0f562-c05c-5cb1-99f7-cb49abaac8e9_3372cdea-bef5-4186-9ae6-b67a016aa67d;cottonseed oil refinery operation;US;soap
ba94d3bd-079a-5d11-8cea-de5839c4bb95_d2184fe3-da8e-40d0-a15e-f35bc3624d26;cottonseed oil, refined, to generic market for vegetable oil, refined;GLO;vegetable oil, refined
3525be75-9ad7-5618-a639-beae5f99a295_ab68c6e3-3d78-4a91-aa33-b100e5fa0639;cottonseed production, for sowing;RoW;cottonseed, for sowing
a1d601c5-007c-5913-a4bd-bc43cce73eb9_ab68c6e3-3d78-4a91-aa33-b100e5fa0639;cottonseed production, for sowing;US;cottonseed, for sowing
2ffd4413-f1d5-5c72-a971-972eeb835af0_7a233d92-6d7c-43c2-a90d-a19d542d3b9c;cottonseed production, for sowing, organic;RoW;cottonseed, organic, for sowing
7a7b2e98-747a-56fc-be9f-be34c37085f6_7a233d92-6d7c-43c2-a90d-a19d542d3b9c;cottonseed production, for sowing, organic;IN-OR;cottonseed, organic, for sowing
d9fabec2-9e8d-5ea1-b814-8489d1d89d0b_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed to generic market for energy feed;BD;energy feed, gross
d9fabec2-9e8d-5ea1-b814-8489d1d89d0b_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed to generic market for energy feed;BD;protein feed, 100% crude
f54157cf-0c72-5786-8928-221473a280b7_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed to generic market for energy feed;RoW;energy feed, gross
f54157cf-0c72-5786-8928-221473a280b7_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed to generic market for energy feed;RoW;protein feed, 100% crude
a4c87066-25e4-56d8-b13b-81e467ee52f3_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed to generic market for energy feed;IN;energy feed, gross
a4c87066-25e4-56d8-b13b-81e467ee52f3_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed to generic market for energy feed;IN;protein feed, 100% crude
af56ecce-afdd-548a-b33f-37c698556126_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed, organic to generic market for energy feed;RoW;energy feed, gross
af56ecce-afdd-548a-b33f-37c698556126_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed, organic to generic market for energy feed;RoW;protein feed, 100% crude
6444efb7-345a-5525-ad2b-df6fe38e03ff_7cb72345-4338-4f2d-830f-65bba3530fdb;cottonseed, organic to generic market for energy feed;IN;energy feed, gross
6444efb7-345a-5525-ad2b-df6fe38e03ff_8b2dfb58-660d-44eb-b83f-5d9e28e467db;cottonseed, organic to generic market for energy feed;IN;protein feed, 100% crude
aa76c987-ce5a-52c2-b277-60ff76c89eda_883e77e1-98eb-4be0-9608-5b4365d19676;cover plaster production, mineral;CH;cover plaster, mineral
abf08b8b-131b-56ef-b2d0-09203178adc0_883e77e1-98eb-4be0-9608-5b4365d19676;cover plaster production, mineral;RoW;cover plaster, mineral
dda5d5f3-2738-50ca-93e5-1a03f665b76b_1bec933d-caf4-42f9-abaf-be1a8f589cd5;cover plaster production, organic;CH;cover plaster, organic
491f8fea-ecc1-5255-9dd8-2128330c0c0a_1bec933d-caf4-42f9-abaf-be1a8f589cd5;cover plaster production, organic;RoW;cover plaster, organic
82f3bcbc-a88a-5949-b6a9-8073befc6895_610daa06-27af-553b-9382-71de32df4525;cross-laminated timber production;RoW;cross-laminated timber
82f3bcbc-a88a-5949-b6a9-8073befc6895_d47a4435-3089-4263-af99-8611eed2698c;cross-laminated timber production;RoW;wood chips, dry, measured as dry mass
d6d857ed-319f-5e03-b284-25abfcb76b1a_610daa06-27af-553b-9382-71de32df4525;cross-laminated timber production;RER;cross-laminated timber
d6d857ed-319f-5e03-b284-25abfcb76b1a_d47a4435-3089-4263-af99-8611eed2698c;cross-laminated timber production;RER;wood chips, dry, measured as dry mass
19dc710e-5c36-522b-afb2-f25898360cb9_f011e841-dfed-4e80-99c3-a5f71e50f890;cryolite production;RoW;cryolite
1821b02e-d0de-56a3-a739-c58762a3e530_f011e841-dfed-4e80-99c3-a5f71e50f890;cryolite production;RER;cryolite
4d58fdfd-aa38-5d86-b954-22060529f4ea_f011e841-dfed-4e80-99c3-a5f71e50f890;cryolite production, from fluosilicic acid;GLO;cryolite
4d58fdfd-aa38-5d86-b954-22060529f4ea_c4842286-21e6-4142-bc35-f2c36f1d68a2;cryolite production, from fluosilicic acid;GLO;silica sand
a0d897e2-98d4-5cf3-873f-04ba6f7d399d_d5a5bee6-1c29-4ed7-be56-540172000e15;cucumber production, in heated greenhouse;GLO;cucumber
50e849fd-b34e-57c1-834d-325bf45e675d_2fec913d-0391-4e1b-8103-093c0ea500b9;cumene production, benzene alkylation;RoW;cumene
2870e27d-ec97-514d-a7f9-018433b9731c_2fec913d-0391-4e1b-8103-093c0ea500b9;cumene production, benzene alkylation;RER;cumene
6f7c6000-229e-5894-b53e-4a8c75b9f3ea_550f6b4b-1612-4e72-b13a-4e000df4c4ef;cyanoacetic acid production;RoW;cyanoacetic acid
de65c93f-54df-52e6-8817-eb7bc8cd385c_550f6b4b-1612-4e72-b13a-4e000df4c4ef;cyanoacetic acid production;RER;cyanoacetic acid
156acd75-fa5c-5af7-acbc-3eb1fa8df6ec_8c48d3e8-2f09-4399-83e5-a68209144b0d;cyanogen chloride production;RoW;cyanogen chloride
3f5e228d-7250-5406-bed7-e244cb3a1559_8c48d3e8-2f09-4399-83e5-a68209144b0d;cyanogen chloride production;RER;cyanogen chloride
e1ec47cc-49bc-5530-8c43-8e854bee06e6_63f60ad3-4b55-41e2-87d8-72d34fcf05e6;cyanuric chloride production;GLO;cyanuric chloride
fa4d71dc-8658-53f7-afc7-b7fa8f579cda_d006454e-161f-4b7f-ad8a-8892ee176041;cyclic N-compound production;RoW;cyclic N-compound
1b5eafb0-3123-5b88-b7af-83e55ad31cf0_d006454e-161f-4b7f-ad8a-8892ee176041;cyclic N-compound production;RER;cyclic N-compound
2287d39c-1145-55e1-80c4-a6cbf08a3b2c_faff01b2-d18a-4432-a850-a9e54cc64e7a;cyclohexane production, benzene hydrogenation, liquid phase process;RoW;cyclohexane
8bce6712-b44e-58aa-aeb2-4458bcc90aa2_faff01b2-d18a-4432-a850-a9e54cc64e7a;cyclohexane production, benzene hydrogenation, liquid phase process;RER;cyclohexane
34533ef6-b615-5f79-a6eb-c919cc7b4a14_7fbaae23-bfff-48eb-b0cb-925c7b11d213;cyclohexanol production;RoW;cyclohexanol
80acbf97-1dad-520d-bb28-3c643ebe021f_7fbaae23-bfff-48eb-b0cb-925c7b11d213;cyclohexanol production;RER;cyclohexanol
0e17132c-fc6e-5f1e-8616-a446076cc228_51f81140-93df-4b38-83f7-de265d88cd76;cyclohexanone production;RoW;cyclohexanone
cb12dbb4-21c2-5173-bc62-e7a748d9bc07_51f81140-93df-4b38-83f7-de265d88cd76;cyclohexanone production;RER;cyclohexanone
69a742d8-fd56-5d23-834a-c207d1bf7d10_4c6c7931-a9ef-4a2d-ba4b-2632303ce6db;dairy construction;GLO;dairy
2e1c6cb1-8668-56b0-98a0-04e370c2993b_521334e0-150e-5f93-8524-1fd1c9ba370d;daminozide production;GLO;daminozide
a6bd4de6-66a6-5f64-be29-93d0454d4dc2_9fc5b274-096c-4764-ac8f-8ca080cffeb0;debarking, hardwood, azobe;CM;sawlog and veneer log, azobe, debarked, measured as solid wood
3fa8d766-b643-5cb5-b0d2-aa6f0f9f9053_9fc5b274-096c-4764-ac8f-8ca080cffeb0;debarking, hardwood, azobe;RoW;sawlog and veneer log, azobe, debarked, measured as solid wood
6a23f5e8-0aab-521b-9391-370e609aa3d9_f245d8fa-864f-4b3f-b35e-7c8f9ce76a4b;debarking, hardwood, meranti;RoW;sawlog and veneer log, meranti, debarked, measured as solid wood
fd333d17-a6b4-51e5-ad8e-51dff288f0cd_f245d8fa-864f-4b3f-b35e-7c8f9ce76a4b;debarking, hardwood, meranti;MY;sawlog and veneer log, meranti, debarked, measured as solid wood
dc48cd12-1414-5077-af0c-73fbea7b1cd0_6d2c81d0-5546-4bc3-a4f4-3e88606d539d;debarking, softwood, in forest;RoW;bark chips, wet, measured as dry mass
dc48cd12-1414-5077-af0c-73fbea7b1cd0_e76d8fdf-fbea-4ae3-85d6-ea1e6d5c21c5;debarking, softwood, in forest;RoW;sawlog and veneer log, softwood, debarked, measured as solid wood
0a2a2aad-133b-5798-a42b-240c8e293ca0_6d2c81d0-5546-4bc3-a4f4-3e88606d539d;debarking, softwood, in forest;RER;bark chips, wet, measured as dry mass
0a2a2aad-133b-5798-a42b-240c8e293ca0_e76d8fdf-fbea-4ae3-85d6-ea1e6d5c21c5;debarking, softwood, in forest;RER;sawlog and veneer log, softwood, debarked, measured as solid wood
28c842b6-f59d-5418-ab5d-da8bf2a2929e_7b349a0f-7612-5137-9026-ddcb5e924ed1;decabromodiphenyl ether production;RoW;decabromodiphenyl ether
0c144d15-218f-5ed5-81c6-b72a9ca9b2ee_7b349a0f-7612-5137-9026-ddcb5e924ed1;decabromodiphenyl ether production;RER;decabromodiphenyl ether
603a4ab2-7757-5a22-a45f-1e28d69a550f_f10b8722-4be1-43d5-b17d-c51ad0e29d29;deep drawing, steel, 10000 kN press, automode;RoW;deep drawing, steel, 10000 kN press, automode
f5a96671-66e0-52b5-9933-44b44a4794ec_f10b8722-4be1-43d5-b17d-c51ad0e29d29;deep drawing, steel, 10000 kN press, automode;RER;deep drawing, steel, 10000 kN press, automode
458d3e57-e2a0-5153-b0f1-72bdd789a032_210dcb33-fd19-4542-8c76-d63f562dbe4b;deep drawing, steel, 10000 kN press, single stroke;RoW;deep drawing, steel, 10000 kN press, single stroke
0fb1eb80-dfd5-5598-904a-a437461d251b_210dcb33-fd19-4542-8c76-d63f562dbe4b;deep drawing, steel, 10000 kN press, single stroke;RER;deep drawing, steel, 10000 kN press, single stroke
9ff13450-a0ca-5726-97ba-2fa8233b70b2_1bed7aa6-94cd-445e-83f2-0ac811d8be86;deep drawing, steel, 3500 kN press, automode;RoW;deep drawing, steel, 3500 kN press, automode
a73431c7-2196-500e-ac82-ef501032f3b8_1bed7aa6-94cd-445e-83f2-0ac811d8be86;deep drawing, steel, 3500 kN press, automode;RER;deep drawing, steel, 3500 kN press, automode
1e17a437-cdb9-5d82-b600-b5232bfcfa26_fc9591fa-99c6-49f4-a80c-d7ae4be937b2;deep drawing, steel, 3500 kN press, single stroke;RoW;deep drawing, steel, 3500 kN press, single stroke
3f25456c-e488-58cf-b42c-7f975b78a230_fc9591fa-99c6-49f4-a80c-d7ae4be937b2;deep drawing, steel, 3500 kN press, single stroke;RER;deep drawing, steel, 3500 kN press, single stroke
3c8aaee5-304b-5290-b075-fa501c5037ec_cb752f65-32fa-4181-84c4-bb9733f242d5;deep drawing, steel, 38000 kN press, automode;RoW;deep drawing, steel, 38000 kN press, automode
966c20c4-ebc2-5acc-9365-206de415accc_cb752f65-32fa-4181-84c4-bb9733f242d5;deep drawing, steel, 38000 kN press, automode;RER;deep drawing, steel, 38000 kN press, automode
5399cc45-fa59-5c96-8d3f-214b8ba642dd_79268913-1168-4440-8a23-3f92fa70d263;deep drawing, steel, 38000 kN press, single stroke;RoW;deep drawing, steel, 38000 kN press, single stroke
aca13006-ca76-5566-b8a9-da309d466490_79268913-1168-4440-8a23-3f92fa70d263;deep drawing, steel, 38000 kN press, single stroke;RER;deep drawing, steel, 38000 kN press, single stroke
6741e617-c57e-5725-a197-5cd9ccc77711_906a817d-5c2d-4fd1-80b6-49edd5223f4b;deep drawing, steel, 650 kN press, automode;RoW;deep drawing, steel, 650 kN press, automode
c510441f-5fc1-5c66-944a-0ab79aaf3ffd_906a817d-5c2d-4fd1-80b6-49edd5223f4b;deep drawing, steel, 650 kN press, automode;RER;deep drawing, steel, 650 kN press, automode
6e19573f-74ae-5384-ba03-bd69bb194e6f_aafac89e-9933-4423-a072-6e4aeed31cd5;deep drawing, steel, 650 kN press, single stroke;RoW;deep drawing, steel, 650 kN press, single stroke
19865386-da8f-5308-9997-1012faaa990c_aafac89e-9933-4423-a072-6e4aeed31cd5;deep drawing, steel, 650 kN press, single stroke;RER;deep drawing, steel, 650 kN press, single stroke
c800c2bf-997a-590e-a8e1-89e44e439053_cfde28b3-a9e9-496a-8a05-f3c4bbc17555;deep well closure, for geothermal power, onshore, 6000m;GLO;deep well closure
ac40538d-6c94-5625-8258-9295bb7809ba_bf0425ee-99c2-488e-9056-3495e9f4e9cb;deep well drilling, for deep geothermal power;AT;deep well, drilled, for geothermal power
ae82c861-2fca-569b-8e19-4a2b9218e922_bf0425ee-99c2-488e-9056-3495e9f4e9cb;deep well drilling, for deep geothermal power;CH;deep well, drilled, for geothermal power
8a06869e-1e26-548d-bc65-91cb44ac7464_bf0425ee-99c2-488e-9056-3495e9f4e9cb;deep well drilling, for deep geothermal power;CR;deep well, drilled, for geothermal power
6dff7158-c886-5c68-b7ee-42079c3dd6f0_bf0425ee-99c2-488e-9056-3495e9f4e9cb;deep well drilling, for deep geothermal power;DE;deep well, drilled, for geothermal power
