clustered,ecoinvent_prod,manual_match_certainty,hard no
black olives,carbon black,no,
black olives,cauliflower,no,
black olives,zucchini,no,
black olives,avocado,no,
black peppercorns,bell pepper,no,
black peppercorns,carbon black,no,
black peppercorns,chilli,no,
black peppercorns,coriander,no,
black peppercorns,piperidine,no,
black soap,soap,high,
black soap,carbon black,no,
black soap,wastewater from black chrome coating,no,
black soap,"toner, black, powder",no,
black soap,"bleaching, textile",no,
black tea,"tea, dried",high,
black tea,carbon black,no,
black tea,pineapple,no,
black tea,coke,no,
black tea,strawberry,no,
black tea with organic hemp,"tea, dried",high,
collapsible trolleys,"transport, trolleybus",no,
collapsible trolleys,"transport, tram",no,
collapsible trolleys,"transport, passenger, motor scooter",no,
collapsible trolleys,"transport, passenger, electric scooter",no,
collapsible trolleys,"transport, passenger, bicycle",no,
collar,bark,no,
collar,floating collar cage,no,
collar,brass,no,
collar,mustard,no,
collecting trays for water pollutants,water storage,no,
collecting trays for water pollutants,"container, for collection of post-consumer waste plastic for recycling",no,
collecting trays for water pollutants,"water, harvested from rainwater",no,
collecting trays for water pollutants,"wood preservation facility, hot/cold dipping tank",no,
collecting trays for water pollutants,wastewater from particle board production,no,
collection coins,mint,no,
collectors' tokens in gold,"gold, unrefined",no,
collectors' tokens in gold,"gold-silver, ingot",no,
collectors' tokens in gold,gold,no,
collectors' tokens in gold,"bronze scrap, post-consumer",no,
collectors' tokens in gold,"mine infrastructure, gold and silver",no,
collectors' toys,"container, for collection of post-consumer waste plastic for recycling",no,
collectors' toys,"plastic flake, consumer electronics, for recycling",no,
collectors' toys,goods wagon,no,
collectors' toys,"waste plastic, consumer electronics, unsorted",no,
collectors' toys,"waste plastic, consumer electronics, sorted",no,
collets,EUR-flat pallet,no,
colloidal silver,silver,medium,
colloidal silver,"silver, unrefined",medium,
colloidal silver,"gold-silver, ingot",no,
colloidal silver,sodium silver thiosulfate,no,
colloidal silver,copper slag,no,
color paste soft gel in tubes,"tube insulation, elastomere",no,
colorants for plastic materials,"plasticiser, for concrete, based on sulfonated melamine formaldehyde",no,
colorants for plastic materials,"waste plastic, mixture",no,
colorants for plastic materials,plastic processing factory,no,
colorants for plastic materials,"polyvinylchloride, suspension polymerised",no,
colorants for plastic materials,"waste plastic, industrial electronics",no,
colorimeters,"printer, laser, colour",no,
colorimeters,"toner, colour, powder",no,
colorimeters,"toner module, laser printer, colour",no,
colorimeters,"toner, black, powder",no,
colour analysers,"toner, colour, powder",no,
colour analysers,"orange, processing grade",no,
colour analysers,"printer, laser, colour",no,
colour free preservative free drink,spent antifreezer liquid,no,
colour free preservative free drink,green liquor dregs,no,
colour free preservative free drink,soybean beverage,no,
colour free preservative free drink,"wood preservative, organic salt, Cr-free",no,
colour free preservative free drink,used beverage cans,no,
colour label printer,"printer, laser, colour",medium,
colour label printer,"toner module, laser printer, colour",no,
colour label printer,"used toner module, laser printer, colour",no,
colour label printer,"printer, laser, black/white",high,
colour label printer,"toner module, laser printer, black/white",no,
colour sensors,"printer, laser, colour",no,
colour sensors,"toner, colour, powder",no,
colour sensors,"polarizer, liquid crystals and colour filters, for liquid crystal display",no,
colour sensors,"toner module, laser printer, colour",no,
colour sensors,"used toner module, laser printer, colour",no,
colour-effect glass,"glass, for liquid crystal display",medium,
colour-effect glass,"packaging glass, green",medium,
colour-effect glass,foam glass,no,
colour-effect glass,"packaging glass, brown",medium,
colour-effect glass,"flat glass, coated",medium,
"colourants, industrial","toner, colour, powder",no,
"colourants, industrial",chemical factory,no,
"colourants, industrial","toner, black, powder",no,
"colourants, industrial","batch dyeing, fibre, cotton",no,
"colourants, industrial","bleaching, textile",no,
coloured envelopes,"toner, colour, powder",no,
coloured envelopes,"toner, black, powder",no,
coloured envelopes,printed paper,no,
coloured envelopes,"paper, newsprint",no,
coloured envelopes,waste packaging paper,no,
coloured glass filters,"polarizer, liquid crystals and colour filters, for liquid crystal display",no,
coloured glass filters,"packaging glass, green",no,
coloured glass filters,"glass, for liquid crystal display",no,
coloured glass filters,wastewater from glass production,no,
coloured glass filters,"packaging glass, white",no,
coloured glasses,"packaging glass, green",medium,
coloured glasses,"glass, for liquid crystal display",no,
coloured glasses,foam glass,no,
coloured glasses,"packaging glass, brown",medium,
coloured glasses,glass fibre,no,
coloured mortars,light mortar,medium,
coloured mortars,cement mortar,medium,
coloured mortars,lime mortar,medium,
coloured mortars,adhesive mortar,medium,
coloured mortars,light clay brick,no,
coloured rattan cores,light clay brick,no,
coloured rattan cores,carbon black,no,
coloured table napkins,"bleaching, textile",no,
colours for ceramics,sanitary ceramics,no,
colours for ceramics,ceramic tile,no,
colours for ceramics,ceramic factory,no,
colours for ceramics,"toner, colour, powder",no,
colours for ceramics,"frit, for ceramic tile",no,
combed artificial fibres,"weaving, synthetic fibre",medium,
combed artificial fibres,glass fibre,no,
combed artificial fibres,"fibre, polyester",medium,
combed artificial fibres,"fibre, cotton",no,
combed artificial fibres,"fibre, viscose",no,
combined blades,combine harvesting,no,
combined blades,"mowing, by rotary mower",no,
combined heat and power plants (chp),"mini CHP plant, common components for heat+electricity",high,
combined heat and power plants (chp),"mini CHP plant, components for heat only",medium,
combined heat and power plants (chp),"heating and sanitary equipment, mini CHP plant",no,
combined heat and power plants (chp),"heat pump, for mini CHP plant",no,
combined heat and power plants (chp),"mini CHP plant, components for electricity only",no,
combined ovens,microwave oven,medium,
combined ovens,cookstove,no,
combined ovens,combine harvesting,no,
combined ovens,multi-Si wafer,no,
combined ovens,"heat, solar+wood, one-family house, for combined system",no,
combined unit,"electronics, for control units",no,
combined unit,"electric parts, heat and power co-generation unit, 160kW electrical",no,
combined unit,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity",no,
combined unit,"uranium, enriched 4.2%, per separative work unit",no,
combined unit,"heat and power co-generation unit, 200kW electrical, common components for heat+electricity",no,
combustion analyses of air conditioning plants,"compressed air energy storage plant, adiabatic, 150 MW electrical",no,
combustion analyses of air conditioning plants,"natural gas, burned in gas turbine",no,
combustion analyses of air conditioning plants,"industrial furnace, natural gas",no,
combustion analyses of air conditioning plants,used blower and heat exchange unit Avent E 97,no,
combustion analyses of air conditioning plants,"used blower and heat exchange unit central, 600-1200 m3/h",no,
commercial refrigerator cabinets,refrigerator,high,
commercial refrigerator cabinets,used domestic refrigerator,no,
commercial refrigerator cabinets,"maintenance, refrigeration machine",no,
commercial refrigerator cabinets,"control cabinet, heat and power co-generation unit, 160kW electrical",no,
commercial refrigerator cabinets,"used refrigeration machine, R134a as refrigerant",medium,
commercial vehicle,light commercial vehicle,high,
commercial vehicle,used light commercial vehicle,medium,
commercial vehicle,"maintenance, light commercial vehicle",no,
commercial vehicle,"transport, freight, light commercial vehicle",no,
commercial vehicle,road vehicle factory,no,
commercial vehicles electrical parts,"electric motor, vehicle",medium,
commercial vehicles electrical parts,"electric parts, heat and power co-generation unit, 160kW electrical",no,
commercial vehicles electrical parts,"maintenance, light commercial vehicle",no,
commercial vehicles electrical parts,"electric parts, mini CHP plant",no,
commercial vehicles electrical parts,"transport, passenger car, electric",no,
commercial vehicles electronic components,electronic component factory,no,
commercial vehicles electronic components,"electronic component machinery, unspecified",no,
commercial vehicles electronic components,used industrial electronic device,no,
commercial vehicles electronic components,"electronics, for control units",medium,
commercial vehicles electronic components,used light commercial vehicle,no,
comminuted fruits,strawberry,medium,
comminuted fruits,mango,medium,
comminuted fruits,"mango, conditioned",medium,
comminuted fruits,"tomato, processing grade",no,
comminuted fruits,pear,medium,
comminution mills,gluing mill,no,
comminution mills,planing mill,no,
comminution mills,oil mill,no,
comminution mills,uranium mill,no,
comminution mills,rolling mill,no,
common wheat,wheat grain,high,
common wheat,wheat flour,no,
common wheat,"wheat grain, organic",high,
common wheat,"wheat grain, feed",medium,
common wheat,wheat bran,no,
"communication, consultants","road, company, internal",no,
compact cooler,cooling energy,no,
compact cooler,"thermal energy storage, for adiabatic compressed air energy storage",no,
compact cooler,refrigerator,medium,
compact cooler,"absorption chiller, 100kW",no,
compact cooler,"transport, freight, aircraft with reefer, cooling",no,
compact discs,"disk drive, CD/DVD, ROM, for desktop computer",no,
compact filter,"air filter, in exhaust air valve",medium,
compact filter,"used air filter decentralized unit, 250 m3/h",medium,
compact filter,"air filter, central unit, 600 m3/h",medium,
compact filter,"used air filter decentralized unit, 180-250 m3/h",medium,
compact filter,"air filter, decentralized unit, 250 m3/h",medium,
compact flash cards (memory cards),"integrated circuit, memory type",no,
compact vacuum sweepers,vacuum cleaner,no,
compact vacuum sweepers,"dust collector, electrostatic precipitator, for domestic use",no,
compact vacuum sweepers,"dust collector, electrostatic precipitator, for industrial use",no,
compact vacuum sweepers,"dust collector, multicyclone",no,
compact water coolers,"heat pump, brine-water, 10kW",no,
compact water coolers,"hot water tank, 600l",no,
compact water coolers,"heat, solar+gas, multiple-dwelling, for hot water",no,
compact water coolers,water storage,no,
compact water coolers,"heat, solar+electric, multiple-dwelling, for hot water",no,
compactors for packaging,"packaging, for fertilisers",no,
compactors for packaging,packaging box factory,no,
compactors for packaging,liquid packaging board container,no,
compactors for packaging,"packaging film, low density polyethylene",no,
compactors for packaging,packaging glass sorting facility,no,
comparator,vacuum cleaner,no,
comparator,conveyor belt,no,
compensated cables,"cable, unspecified",medium,
compensated cables,"cable, data cable in infrastructure",no,
compensated cables,"cable, three-conductor cable",no,
compensated cables,used cable,medium,
compensated cables,"cable, ribbon cable, 20-pin, with plugs",no,
compensating cables,"cable, data cable in infrastructure",no,
compensating cables,"cable, unspecified",medium,
compensating cables,"cable, three-conductor cable",no,
compensating cables,"cable, network cable, category 5, without plugs",no,
compensating cables,used cable,medium,
competition motorcycle,electric bicycle,no,
competition motorcycle,bicycle,no,
competition motorcycle,"electric motor, for electric scooter",no,
competition motorcycle,used electric bicycle,no,
competition motorcycle,used motor scooter,medium,
complete animal feeds for all breeds,"housing system, cattle, tied, per animal unit",no,
complete animal feeds for all breeds,"housing system, cattle, loose, per animal unit",no,
complete animal feeds for all breeds,"operation, housing system, cattle, loose, per animal unit",no,
complete animal feeds for all breeds,"operation, housing system, cattle, tied, per animal unit",no,
complete animal feeds for all breeds,"cattle for slaughtering, live weight",no,
components for mandrels,mancozeb,no,
components for mandrels,electronic component factory,no,
composite aluminium foil,"aluminium collector foil, for Li-ion battery",no,
composite aluminium foil,"aluminium alloy, metal matrix composite",no,
composite aluminium foil,scrap aluminium,no,
composite aluminium foil,"copper collector foil, for Li-ion battery",no,
composite aluminium foil,"aluminium scrap, post-consumer, prepared for melting",no,
composite film,"polyvinylfluoride, film",no,
composite film,"extrusion, plastic film",no,
composite film,"tetrafluoroethylene film, on glass",medium,
composite film,"packaging film, low density polyethylene",no,
composite film,waste x-ray film,no,
composite foils,"ethylvinylacetate, foil",no,
composite foils,"copper collector foil, for Li-ion battery",no,
composite foils,"aluminium collector foil, for Li-ion battery",no,
composite foils,"laminating service, foil, with acrylic binder",medium,
composite foils,"flat glass, coated",no,
composite hoses,tubular particleboard,no,
composite materials for façade covering,"cover plaster, organic",medium,
composite materials for façade covering,"greenhouse, plastic walls and roof",no,
composite materials for façade covering,"cover plaster, mineral",medium,
composite materials for façade covering,"greenhouse, glass walls and roof",no,
composite materials for façade covering,"polyester resin, unsaturated",no,
composite moulds,injection moulding,no,
composite moulds,blow moulding,no,
composite moulds,"carbon fibre reinforced plastic, injection moulded",no,
composite moulds,"glass fibre reinforced plastic, polyamide, injection moulded",no,
composite moulds,stretch blow moulding,no,
composite panels,"photovoltaic laminate, CIS",no,
composite panels,"panel glass, for cathode ray tube display",no,
composite panels,"photovoltaic laminate, CdTe",no,
composite panels,cross-laminated timber,no,
composite panels,"paper, woodcontaining, lightweight coated",no,
composite plates for totem,"cladding, crossbar-pole, aluminium",no,
composite plates for totem,"laminating service, foil, with acrylic binder",no,
composite plates for totem,"titanium zinc plate, without pre-weathering",no,
composite plates for totem,"paper, woodcontaining, lightweight coated",no,
composite plates for totem,anionic resin,no,
composition plants,"grass, organic",no,
composition plants,planting,no,
composition plants,"barley grain, feed, organic",no,
composition plants,"wheat grain, feed, organic",no,
composition plants,"miscanthus, chopped",no,
compost,compost,high,
compost,"composting facility, open",no,
compost,peat,no,
compost,"soil, contaminated",no,
compost,"waste textile, soiled",no,
composters,compost,high,
composters,"composting facility, open",no,
composters,"waste wood, post-consumer",no,
composters,mulching,no,
composters,harvester,no,
compound cork,cork slab,high,
compound cork,"cork, raw",no,
compound cork,sodium tetrahydridoborate,no,
compound cork,"solvent, organic",no,
compound cork,"cover plaster, organic",no,
compound mitre saws,"power saw, with catalytic converter",medium,
compound mitre saws,"power sawing, with catalytic converter",medium,
compound mitre saws,"power saw, without catalytic converter",medium,
compound mitre saws,"power sawing, without catalytic converter",medium,
compound mitre saws,"sawnwood, hardwood, raw",no,
compound-filled flexible leads,lead,no,
compound-filled flexible leads,"used flexible duct aluminium/PET, DN of 125",no,
"compounds, inorganic","chemical, inorganic",high,
"compounds, inorganic","chemical, organic",no,
"compounds, inorganic",iron(II) chloride,no,
"compounds, inorganic","solvent, organic",no,
"compounds, inorganic","phosphorus, white, liquid",no,
compressed air,"compressed air, 800 kPa gauge",medium,
compressed air,"compressed air, 1000 kPa gauge",medium,
compressed air,"compressed air, 700 kPa gauge",medium,
compressed air,"compressed air, 600 kPa gauge",medium,
compressed air,"compressed air, 1200 kPa gauge",medium,
compressed air boosters,"compressed air, 800 kPa gauge",no,
compressed air boosters,"compressed air, 700 kPa gauge",no,
compressed air boosters,"compressed air, 600 kPa gauge",no,
compressed air boosters,"compressed air, 1000 kPa gauge",no,
compressed air boosters,"compressed air, 1200 kPa gauge",no,
compressed air components,"compressed air, 700 kPa gauge",no,
compressed air components,"compressed air, 800 kPa gauge",no,
compressed air components,"compressed air, 600 kPa gauge",no,
compressed air components,"compressed air, 1000 kPa gauge",no,
compressed air components,"compressed air, 1200 kPa gauge",no,
compressed air diaphragm pumps,"compressed air, 800 kPa gauge",no,
compressed air diaphragm pumps,"compressed air, 1000 kPa gauge",no,
compressed air diaphragm pumps,"compressed air, 700 kPa gauge",no,
compressed air diaphragm pumps,"compressed air, 600 kPa gauge",no,
compressed air diaphragm pumps,"compressed air, 1200 kPa gauge",no,
compressed air dryers,dryer,no,
compressed air dryers,hair dryer,no,
compressed air dryers,"gas turbine, 80MW, for compressed air energy storage",no,
compressed air dryers,"compressed air, 700 kPa gauge",no,
compressed air dryers,"compressed air, 800 kPa gauge",no,
compressed air filters,"compressed air, 800 kPa gauge",no,
compressed air filters,"compressed air, 600 kPa gauge",no,
compressed air filters,"compressed air, 700 kPa gauge",no,
compressed air filters,"compressed air, 1000 kPa gauge",no,
compressed air filters,"compressed air, 1200 kPa gauge",no,
compressed air tool,"compressed air, 700 kPa gauge",no,
compressed air tool,"compressed air, 800 kPa gauge",no,
compressed air tool,"compressed air, 600 kPa gauge",no,
compressed air tool,"compressed air, 1000 kPa gauge",no,
compressed air tool,"compressed air, 1200 kPa gauge",no,
compressed air tubing,"compressed air, 800 kPa gauge",no,
compressed air tubing,"compressed air, 700 kPa gauge",no,
compressed air tubing,"compressed air, 600 kPa gauge",no,
compressed air tubing,"compressed air, 1000 kPa gauge",no,
compressed air tubing,"compressed air, 1200 kPa gauge",no,
compressed air tyre lever,"compressed air, 600 kPa gauge",no,
compressed air tyre lever,"compressed air, 800 kPa gauge",no,
compressed air tyre lever,"compressed air, 700 kPa gauge",no,
compressed air tyre lever,"waste, pneumatic tyres",no,
compressed air tyre lever,"compressed air, 1200 kPa gauge",no,
compressed cardboard,waste plaster-cardboard sandwich,no,
compressed cardboard,waste packaging paper,no,
compressed cardboard,liquid packaging board container,no,
compressed cardboard,liquid packaging board,no,
compressed cardboard,corrugated board box,no,
compressed firewood,"wood cladding, softwood",no,
compressed firewood,wood wool,no,
compressed firewood,"shed, large, wood, non-insulated, fire-unprotected",no,
compressed firewood,"garage, wood, non-insulated, fire-protected",no,
compressed firewood,"waste wood, untreated",no,
compressed wood,glued solid timber,no,
compressed wood,"waste wood, untreated",no,
compressed wood,structural timber,no,
compressed wood,"wood preservation facility, oscillating pressure method",no,
compressed wood,"wood preservation facility, vacuum pressure method",no,
compressed-air brakes,"compressed air, 600 kPa gauge",no,
compressed-air brakes,"compressed air, 800 kPa gauge",no,
compressed-air brakes,"compressed air energy storage plant, 200 MW electrical",no,
compressed-gas fittings,"compressed air, 700 kPa gauge",no,
compressed-gas fittings,"compressed air, 800 kPa gauge",no,
compressed-gas fittings,"gas turbine, 80MW, for compressed air energy storage",no,
compressed-gas fittings,"compressed air, 600 kPa gauge",no,
compressed-gas fittings,"compressed air, 1000 kPa gauge",no,
compression ring pipe unions,"extrusion, plastic pipes",no,
compression ring pipe unions,"drawing of pipe, steel",no,
compression ring pipe unions,chromium steel pipe,no,
compression ring pipe unions,"pipeline, natural gas, low pressure distribution network",no,
compression ring pipe unions,"pipeline, natural gas, high pressure distribution network",no,
compression springs,hydraulic digger,no,
compression springs,"air compressor, screw-type compressor, 300kW",no,
compression springs,"air compressor, screw-type compressor, 4kW",no,
compressor,"air compressor, screw-type compressor, 300kW",medium,
compressor,"air compressor, screw-type compressor, 4kW",medium,
compressor,vacuum cleaner,no,
compressor,"gas turbine, 80MW, for compressed air energy storage",no,
compressor,refrigerator,no,
compressor filters,"air compressor, screw-type compressor, 300kW",no,
compressor filters,"air compressor, screw-type compressor, 4kW",no,
compressor filters,"air filter, in exhaust air valve",medium,
compressor filters,"air filter, central unit, 600 m3/h",medium,
compressor filters,"used air filter decentralized unit, 180-250 m3/h",no,
compressor oil,petroleum,no,
compressor oil,lubricating oil,no,
compressor oil,"air compressor, screw-type compressor, 300kW",no,
compressor oil,"air compressor, screw-type compressor, 4kW",no,
compressor oil,base oil,no,
compressor valves,"air compressor, screw-type compressor, 300kW",no,
compressor valves,"air compressor, screw-type compressor, 4kW",no,
compressor valves,"air filter, in exhaust air valve",no,
compressor valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,
compressor valves,gas boiler,no,
compressors for air conditioning,"air compressor, screw-type compressor, 300kW",no,
compressors for air conditioning,"air compressor, screw-type compressor, 4kW",no,
compressors for air conditioning,"gas turbine, 80MW, for compressed air energy storage",no,
compressors for air conditioning,"compressed air energy storage plant, 200 MW electrical",no,
compressors for air conditioning,"compressed air energy storage plant, adiabatic, 150 MW electrical",no,
computer cases,used desktop computer,no,
computer cases,"operation, computer, desktop, office use",no,
computer cases,"computer, laptop",no,
computer cases,"chassis, internet access equipment",no,
computer cases,"disk drive, CD/DVD, ROM, for desktop computer",no,
computer combination weighers,"industrial machine, heavy, unspecified",no,
computer control panels,"electronics, for control units",no,
computer control panels,"photovoltaic panel, CIS",no,
computer control panels,electronics scrap from control units,no,
computer control panels,"panel glass, for cathode ray tube display",no,
computer control panels,photovoltaic panel factory,no,
computer glasses,"glass, for liquid crystal display",no,
computer glasses,foam glass,no,
computer glasses,glass fibre,no,
computer glasses,flat glass factory,no,
computer glasses,waste glass,no,
concentrated butter for bakeries,"butter, from cow milk",high,
concentrated butter for bakeries,"buttermilk, from cow milk",no,
concentrated fruit juices,strawberry,no,
concentrated fruit juices,"fruit tree seedling, for planting",no,
concentrated fruit juices,grape,no,
concentrated fruit juices,sugar beet pulp,no,
concentrated fruit juices,"mango, conditioned",no,
concentrated fruit syrups,"sugar, from sugarcane",no,
concentrated fruit syrups,sugar beet pulp,no,
concentrated fruit syrups,"sugar, from sugar beet",no,
concentrated fruit syrups,strawberry,no,
concentrated fruit syrups,"molasses, from sugar beet",no,
concrete,concrete slab,medium,
concrete,"concrete, 35MPa",high,
concrete,"concrete, medium strength",high,
concrete,"concrete, 50MPa",high,
concrete,"concrete, 20MPa",high,
concrete additives,supplementary cementitious materials,medium,
concrete additives,"concrete, medium strength",no,
concrete additives,"cement, type S",no,
concrete additives,"concrete, 30-32MPa",no,
concrete additives,"concrete, 25-30MPa",no,
concrete admixtures,waste concrete,no,
concrete admixtures,"concrete, 20MPa",no,
concrete admixtures,"concrete, 30-32MPa",no,
concrete admixtures,"concrete, medium strength",no,
concrete admixtures,"concrete, 25-30MPa",no,
concrete aggregate,concrete slab,no,
concrete aggregate,"waste mixed aggregates, from demolition",medium,
concrete aggregate,lean concrete,no,
concrete aggregate,"concrete, 20MPa",no,
concrete aggregate,"concrete, 25-30MPa",no,
concrete alveolar slabs,concrete slab,medium,
concrete alveolar slabs,concrete roof tile,no,
concrete alveolar slabs,fibre cement corrugated slab,no,
concrete alveolar slabs,waste cement-fibre slab,no,
concrete alveolar slabs,concrete block,no,
concrete anchors,concrete slab,no,
concrete anchors,concrete block,no,
concrete anchors,lean concrete,no,
concrete anchors,cement mortar,no,
concrete anchors,"concrete, medium strength",no,
concrete benches,concrete slab,no,
concrete benches,lean concrete,no,
concrete benches,"concrete, 25-30MPa",no,
concrete benches,concrete block,no,
concrete benches,"concrete, 30-32MPa",no,
concrete block coatings,concrete block,no,
concrete block coatings,"lightweight concrete block, polystyrene",no,
concrete block coatings,"lightweight concrete block, pumice",no,
concrete block coatings,"lightweight concrete block, expanded clay",no,
concrete block coatings,metal coating facility,no,
concrete blocks,concrete block,high,
concrete blocks,concrete slab,high,
concrete blocks,"lightweight concrete block, polystyrene",medium,
concrete blocks,"lightweight concrete block, pumice",medium,
concrete blocks,"lightweight concrete block, expanded clay",medium,
concrete blocks for exterior works,concrete block,high,
concrete blocks for exterior works,"lightweight concrete block, polystyrene",medium,
concrete blocks for exterior works,"lightweight concrete block, expanded clay",medium,
concrete blocks for exterior works,"lightweight concrete block, expanded vermiculite",medium,
concrete blocks for exterior works,"lightweight concrete block, pumice",medium,
concrete breathers,waste concrete,no,
concrete breathers,"concrete, 20MPa",no,
concrete breathers,"concrete, 30MPa",no,
concrete breathers,"concrete, 40MPa",no,
concrete breathers,"concrete, 50MPa",no,
concrete core drills,"concrete, medium strength",no,
concrete core drills,concrete slab,no,
concrete core drills,"concrete, 25-30MPa",no,
concrete core drills,"steel removed by drilling, computer numerical controlled",no,
concrete core drills,"concrete, 30-32MPa",no,
concrete covered poles,concrete slab,no,
concrete covered poles,concrete block,no,
concrete covered poles,"concrete, 25-30MPa",no,
concrete covered poles,"fibre-reinforced concrete, steel",no,
concrete covered poles,"concrete, 30-32MPa",no,
concrete floor slabs,concrete slab,high,
concrete floor slabs,concrete roof tile,no,
concrete floor slabs,concrete block,no,
concrete floor slabs,waste cement-fibre slab,no,
concrete floor slabs,fibre cement corrugated slab,no,
concrete insulating materials,polystyrene foam slab for perimeter insulation,no,
concrete insulating materials,"concrete, 25-30MPa",no,
concrete insulating materials,"concrete, 30-32MPa",no,
concrete insulating materials,"concrete, 40MPa",no,
concrete insulating materials,"concrete, 20MPa",no,
concrete millers,concrete slab,no,
concrete millers,waste concrete,no,
concrete millers,"concrete, 20MPa",no,
concrete millers,"concrete, medium strength",no,
concrete millers,"concrete, 50MPa",no,
concrete mixers,concrete mixing factory,no,
concrete mixers,lean concrete,no,
concrete mixers,"concrete, 25-30MPa",no,
concrete mixers,"cement, type IP",no,
concrete mixers,"concrete, 30-32MPa",no,
concrete paving blocks,concrete block,high,
concrete paving blocks,concrete slab,medium,
concrete paving blocks,"lightweight concrete block, polystyrene",no,
concrete paving blocks,waste concrete,no,
concrete paving blocks,concrete roof tile,no,
concrete plant conveyors,waste concrete,no,
concrete plant conveyors,concrete mixing factory,no,
concrete plant conveyors,lean concrete,no,
concrete plant conveyors,conveyor belt,medium,
concrete plant conveyors,concrete slab,no,
concrete plasticizers,"plasticiser, for concrete, based on sulfonated melamine formaldehyde",high,
concrete plasticizers,plastic processing factory,no,
concrete plasticizers,concrete mixing factory,no,
concrete plasticizers,"concrete, 25-30MPa",no,
concrete plasticizers,wastewater from concrete production,no,
concrete protection slabs made of plastic,concrete slab,no,
concrete protection slabs made of plastic,concrete block,no,
concrete protection slabs made of plastic,"concrete, medium strength",no,
concrete protection slabs made of plastic,concrete roof tile,no,
concrete protection slabs made of plastic,"lightweight concrete block, polystyrene",no,
concrete pumps,pump station,no,
concrete pumps,"water pump operation, diesel",no,
concrete pumps,"water pump operation, electric",no,
concrete pumps,hydraulic digger,no,
concrete pumps,lean concrete,no,
concrete sewer pipes,wastewater from concrete production,no,
concrete sewer pipes,waste concrete,no,
concrete sewer pipes,"sewer grid, urban",no,
concrete sewer pipes,waste reinforced concrete,no,
concrete sewer pipes,waste cement-fibre slab,no,
concrete stones,concrete slab,no,
concrete stones,cement mortar,no,
concrete stones,waste concrete gravel,no,
concrete stones,waste concrete,no,
concrete stones,light mortar,no,
concrete structural beams,concrete slab,no,
concrete structural beams,"fibre-reinforced concrete, steel",no,
concrete structural beams,"concrete, medium strength",no,
concrete structural beams,concrete block,no,
concrete structural beams,"concrete, normal strength",no,
concrete tanks,waste concrete,no,
concrete tanks,"concrete, 25-30MPa",no,
concrete tanks,cement mortar,no,
concrete tanks,"concrete, 25MPa",no,
concrete tanks,lean concrete,no,
condensate traps,condensate from light oil boiler,no,
condensation boilers,condensate from light oil boiler,no,
condensation boilers,gas boiler,no,
condensation boilers,"residues, MSWI-WWT, condensate from light oil boiler",no,
condensation boilers,"bottom ash, MSWI-WWT, condensate from light oil boiler",no,
condensation boilers,"steam, in chemical industry",no,
condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",no,
condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts",no,
condensation chambers,ventilation components factory,no,
condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts, with earth tube heat exchanger",no,
condensation chambers,air separation facility,no,
condensed milk,dairy,medium,
condensed milk,"skimmed milk, from cow milk",no,
condensed milk,milking,no,
condensed milk,cow milk,high,
condensed milk,evaporation of milk,no,
condenser tube,evacuated tube collector,no,
condenser tube,tube insulation factory,no,
condenser tube,glass tube factory,no,
condenser tube,"glass tube, borosilicate",no,
condenser tube,condensate from light oil boiler,no,
condensers,condensate from light oil boiler,no,
condensers,dryer,no,
condensers,"refrigeration machine, carbon dioxide, liquid as refrigerant",medium,
condensers,"ozone, liquid",no,
condensers,spent antifreezer liquid,no,
condensing boilers,condensate from light oil boiler,no,
condensing boilers,gas boiler,medium,
condensing boilers,"residues, MSWI-WWT, condensate from light oil boiler",no,
condensing boilers,"bottom ash, MSWI-WWT, condensate from light oil boiler",no,
condensing boilers,"steam, in chemical industry",no,
condensing unit,condensate from light oil boiler,no,
condensing unit,"refrigeration machine, carbon dioxide, liquid as refrigerant",medium,
condensing unit,"used refrigeration machine, carbon dioxide, liquid as refrigerant",no,
condensing unit,"maintenance, refrigeration machine",no,
condensing unit,"blower and heat exchange unit, decentralized, 180-250 m3/h",no,
condiments,mustard,medium,
condiments,bell pepper,medium,
condiments,"coconut oil, crude",no,
condiments,"vegetable oil, refined",no,
condiments,broccoli,no,
conditioner,dryer,no,
conditioner,hair dryer,no,
conditioner,"mango, conditioned",no,
conditioner,"operation, dried roughage store, cold-air dried, conventional",no,
conditioner,"maintenance, refrigeration machine",no,
condoms,rape seed,no,
conductor lines,"cable, three-conductor cable",no,
conductor lines,"wire drawing, steel",no,
conductor lines,"wire drawing, copper",no,
conductor lines,waste electric wiring,no,
conductor lines,"transmission network, electricity, high voltage direct current aerial line",medium,
cone dyers for granules,"polylactide, granulate",no,
cone dyers for granules,"polypropylene, granulate",no,
cone dyers for granules,"activated carbon, granular",no,
cone dyers for granules,"polyvinylidenchloride, granulate",no,
cone dyers for granules,"polyethylene, high density, granulate",no,
cone dyers for pastes,"solder, paste, Sn63Pb37, for electronics industry",no,
cone dyers for pastes,"solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry",no,
cone dyers for pastes,"metallization paste, back side",no,
cone dyers for pastes,waste polystyrene,no,
cone dyers for pastes,kraft paper,no,
