Unnamed: 0,clustered,ecoinvent_prod,manual_match_certainty,manual_certainty,hard no
914,colour sensors,"toner module, laser printer, colour",no,no,
915,colour sensors,"used toner module, laser printer, colour",no,no,
916,colour-effect glass,"glass, for liquid crystal display",medium,yes,
917,colour-effect glass,"packaging glass, green",medium,yes,
918,colour-effect glass,foam glass,no,no,
919,colour-effect glass,"packaging glass, brown",medium,yes,
920,colour-effect glass,"flat glass, coated",medium,yes,
921,"colourants, industrial","toner, colour, powder",no,no,
922,"colourants, industrial",chemical factory,no,no,
923,"colourants, industrial","toner, black, powder",no,no,
924,"colourants, industrial","batch dyeing, fibre, cotton",no,no,
925,"colourants, industrial","bleaching, textile",no,no,
926,coloured envelopes,"toner, colour, powder",no,no,
927,coloured envelopes,"toner, black, powder",no,no,
928,coloured envelopes,printed paper,no,no,
929,coloured envelopes,"paper, newsprint",no,no,
930,coloured envelopes,waste packaging paper,no,no,
931,coloured glass filters,"polarizer, liquid crystals and colour filters, for liquid crystal display",no,no,
932,coloured glass filters,"packaging glass, green",no,no,
933,coloured glass filters,"glass, for liquid crystal display",no,no,
934,coloured glass filters,wastewater from glass production,no,no,
935,coloured glass filters,"packaging glass, white",no,no,
936,coloured glasses,"packaging glass, green",medium,yes,
937,coloured glasses,"glass, for liquid crystal display",no,no,
938,coloured glasses,foam glass,no,no,
939,coloured glasses,"packaging glass, brown",medium,yes,
940,coloured glasses,glass fibre,no,no,
941,coloured mortars,light mortar,medium,yes,
942,coloured mortars,cement mortar,medium,yes,
943,coloured mortars,lime mortar,medium,yes,
944,coloured mortars,adhesive mortar,medium,yes,
945,coloured mortars,light clay brick,no,no,
946,coloured rattan cores,light clay brick,no,no,
947,coloured rattan cores,carbon black,no,no,
948,coloured table napkins,"bleaching, textile",no,no,
949,colours for ceramics,sanitary ceramics,no,no,
950,colours for ceramics,ceramic tile,no,no,
951,colours for ceramics,ceramic factory,no,no,
952,colours for ceramics,"toner, colour, powder",no,no,
953,colours for ceramics,"frit, for ceramic tile",no,no,
954,combed artificial fibres,"weaving, synthetic fibre",medium,yes,
955,combed artificial fibres,glass fibre,no,no,
956,combed artificial fibres,"fibre, polyester",medium,yes,
957,combed artificial fibres,"fibre, cotton",no,no,
958,combed artificial fibres,"fibre, viscose",no,no,
959,combined blades,combine harvesting,no,no,
960,combined blades,"mowing, by rotary mower",no,no,
961,combined heat and power plants (chp),"mini CHP plant, common components for heat+electricity",high,yes,
962,combined heat and power plants (chp),"mini CHP plant, components for heat only",medium,yes,
963,combined heat and power plants (chp),"heating and sanitary equipment, mini CHP plant",no,no,
964,combined heat and power plants (chp),"heat pump, for mini CHP plant",no,no,
965,combined heat and power plants (chp),"mini CHP plant, components for electricity only",no,no,
966,combined ovens,microwave oven,medium,yes,
967,combined ovens,cookstove,no,no,
968,combined ovens,combine harvesting,no,no,
969,combined ovens,multi-Si wafer,no,no,
970,combined ovens,"heat, solar+wood, one-family house, for combined system",no,no,
971,combined unit,"electronics, for control units",no,no,
972,combined unit,"electric parts, heat and power co-generation unit, 160kW electrical",no,no,
973,combined unit,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity",no,no,
974,combined unit,"uranium, enriched 4.2%, per separative work unit",no,no,
975,combined unit,"heat and power co-generation unit, 200kW electrical, common components for heat+electricity",no,no,
976,combustion analyses of air conditioning plants,"compressed air energy storage plant, adiabatic, 150 MW electrical",no,no,
977,combustion analyses of air conditioning plants,"natural gas, burned in gas turbine",no,no,
978,combustion analyses of air conditioning plants,"industrial furnace, natural gas",no,no,
979,combustion analyses of air conditioning plants,used blower and heat exchange unit Avent E 97,no,no,
980,combustion analyses of air conditioning plants,"used blower and heat exchange unit central, 600-1200 m3/h",no,no,
981,commercial refrigerator cabinets,refrigerator,high,yes,
982,commercial refrigerator cabinets,used domestic refrigerator,no,no,
983,commercial refrigerator cabinets,"maintenance, refrigeration machine",no,no,
984,commercial refrigerator cabinets,"control cabinet, heat and power co-generation unit, 160kW electrical",no,no,
985,commercial refrigerator cabinets,"used refrigeration machine, R134a as refrigerant",medium,yes,
986,commercial vehicle,light commercial vehicle,high,yes,
987,commercial vehicle,used light commercial vehicle,medium,yes,
988,commercial vehicle,"maintenance, light commercial vehicle",no,no,
989,commercial vehicle,"transport, freight, light commercial vehicle",no,no,
990,commercial vehicle,road vehicle factory,no,no,
991,commercial vehicles electrical parts,"electric motor, vehicle",medium,yes,
992,commercial vehicles electrical parts,"electric parts, heat and power co-generation unit, 160kW electrical",no,no,
993,commercial vehicles electrical parts,"maintenance, light commercial vehicle",no,no,
994,commercial vehicles electrical parts,"electric parts, mini CHP plant",no,no,
995,commercial vehicles electrical parts,"transport, passenger car, electric",no,no,
996,commercial vehicles electronic components,electronic component factory,no,no,
997,commercial vehicles electronic components,"electronic component machinery, unspecified",no,no,
998,commercial vehicles electronic components,used industrial electronic device,no,no,
999,commercial vehicles electronic components,"electronics, for control units",medium,yes,
1000,commercial vehicles electronic components,used light commercial vehicle,no,no,
1001,comminuted fruits,strawberry,medium,yes,
1002,comminuted fruits,mango,medium,yes,
1003,comminuted fruits,"mango, conditioned",medium,yes,
1004,comminuted fruits,"tomato, processing grade",no,no,
1005,comminuted fruits,pear,medium,yes,
1006,comminution mills,gluing mill,no,no,
1007,comminution mills,planing mill,no,no,
1008,comminution mills,oil mill,no,no,
1009,comminution mills,uranium mill,no,no,
1010,comminution mills,rolling mill,no,no,
1011,common wheat,wheat grain,high,yes,
1012,common wheat,wheat flour,no,no,
1013,common wheat,"wheat grain, organic",high,yes,
1014,common wheat,"wheat grain, feed",medium,yes,
1015,common wheat,wheat bran,no,no,
1016,"communication, consultants","road, company, internal",no,no,
1017,compact cooler,cooling energy,no,no,
1018,compact cooler,"thermal energy storage, for adiabatic compressed air energy storage",no,no,
1019,compact cooler,refrigerator,medium,yes,
1020,compact cooler,"absorption chiller, 100kW",no,no,
1021,compact cooler,"transport, freight, aircraft with reefer, cooling",no,no,
1022,compact discs,"disk drive, CD/DVD, ROM, for desktop computer",no,no,
1023,compact filter,"air filter, in exhaust air valve",medium,yes,
1024,compact filter,"used air filter decentralized unit, 250 m3/h",medium,yes,
1025,compact filter,"air filter, central unit, 600 m3/h",medium,yes,
1026,compact filter,"used air filter decentralized unit, 180-250 m3/h",medium,yes,
1027,compact filter,"air filter, decentralized unit, 250 m3/h",medium,yes,
1028,compact flash cards (memory cards),"integrated circuit, memory type",no,no,
1029,compact vacuum sweepers,vacuum cleaner,no,no,
1030,compact vacuum sweepers,"dust collector, electrostatic precipitator, for domestic use",no,no,
1031,compact vacuum sweepers,"dust collector, electrostatic precipitator, for industrial use",no,no,
1032,compact vacuum sweepers,"dust collector, multicyclone",no,no,
1033,compact water coolers,"heat pump, brine-water, 10kW",no,no,
1034,compact water coolers,"hot water tank, 600l",no,no,
1035,compact water coolers,"heat, solar+gas, multiple-dwelling, for hot water",no,no,
1036,compact water coolers,water storage,no,no,
1037,compact water coolers,"heat, solar+electric, multiple-dwelling, for hot water",no,no,
1038,compactors for packaging,"packaging, for fertilisers",no,no,
1039,compactors for packaging,packaging box factory,no,no,
1040,compactors for packaging,liquid packaging board container,no,no,
1041,compactors for packaging,"packaging film, low density polyethylene",no,no,
1042,compactors for packaging,packaging glass sorting facility,no,no,
1043,comparator,vacuum cleaner,no,no,
1044,comparator,conveyor belt,no,no,
1045,compensated cables,"cable, unspecified",medium,yes,
1046,compensated cables,"cable, data cable in infrastructure",no,no,
1047,compensated cables,"cable, three-conductor cable",no,no,
1048,compensated cables,used cable,medium,yes,
1049,compensated cables,"cable, ribbon cable, 20-pin, with plugs",no,no,
1050,compensating cables,"cable, data cable in infrastructure",no,no,
1051,compensating cables,"cable, unspecified",medium,yes,
1052,compensating cables,"cable, three-conductor cable",no,no,
1053,compensating cables,"cable, network cable, category 5, without plugs",no,no,
1054,compensating cables,used cable,medium,yes,
1055,competition motorcycle,electric bicycle,no,no,
1056,competition motorcycle,bicycle,no,no,
1057,competition motorcycle,"electric motor, for electric scooter",no,no,
1058,competition motorcycle,used electric bicycle,no,no,
1059,competition motorcycle,used motor scooter,medium,yes,
1060,complete animal feeds for all breeds,"housing system, cattle, tied, per animal unit",no,no,
1061,complete animal feeds for all breeds,"housing system, cattle, loose, per animal unit",no,no,
1062,complete animal feeds for all breeds,"operation, housing system, cattle, loose, per animal unit",no,no,
1063,complete animal feeds for all breeds,"operation, housing system, cattle, tied, per animal unit",no,no,
1064,complete animal feeds for all breeds,"cattle for slaughtering, live weight",no,no,
1065,components for mandrels,mancozeb,no,no,
1066,components for mandrels,electronic component factory,no,no,
1067,composite aluminium foil,"aluminium collector foil, for Li-ion battery",no,no,
1068,composite aluminium foil,"aluminium alloy, metal matrix composite",no,no,
1069,composite aluminium foil,scrap aluminium,no,no,
1070,composite aluminium foil,"copper collector foil, for Li-ion battery",no,no,
1071,composite aluminium foil,"aluminium scrap, post-consumer, prepared for melting",no,no,
1072,composite film,"polyvinylfluoride, film",no,no,
1073,composite film,"extrusion, plastic film",no,no,
1074,composite film,"tetrafluoroethylene film, on glass",medium,yes,
1075,composite film,"packaging film, low density polyethylene",no,no,
1076,composite film,waste x-ray film,no,no,
1077,composite foils,"ethylvinylacetate, foil",no,no,
1078,composite foils,"copper collector foil, for Li-ion battery",no,no,
1079,composite foils,"aluminium collector foil, for Li-ion battery",no,no,
1080,composite foils,"laminating service, foil, with acrylic binder",medium,yes,
1081,composite foils,"flat glass, coated",no,no,
1082,composite hoses,tubular particleboard,no,no,
1083,composite materials for façade covering,"cover plaster, organic",medium,yes,
1084,composite materials for façade covering,"greenhouse, plastic walls and roof",no,no,
1085,composite materials for façade covering,"cover plaster, mineral",medium,yes,
1086,composite materials for façade covering,"greenhouse, glass walls and roof",no,no,
1087,composite materials for façade covering,"polyester resin, unsaturated",no,no,
1088,composite moulds,injection moulding,no,no,
1089,composite moulds,blow moulding,no,no,
1090,composite moulds,"carbon fibre reinforced plastic, injection moulded",no,no,
1091,composite moulds,"glass fibre reinforced plastic, polyamide, injection moulded",no,no,
1092,composite moulds,stretch blow moulding,no,no,
1093,composite panels,"photovoltaic laminate, CIS",no,no,
1094,composite panels,"panel glass, for cathode ray tube display",no,no,
1095,composite panels,"photovoltaic laminate, CdTe",no,no,
1096,composite panels,cross-laminated timber,no,no,
1097,composite panels,"paper, woodcontaining, lightweight coated",no,no,
1098,composite plates for totem,"cladding, crossbar-pole, aluminium",no,no,
1099,composite plates for totem,"laminating service, foil, with acrylic binder",no,no,
1100,composite plates for totem,"titanium zinc plate, without pre-weathering",no,no,
1101,composite plates for totem,"paper, woodcontaining, lightweight coated",no,no,
1102,composite plates for totem,anionic resin,no,no,
1103,composition plants,"grass, organic",no,no,
1104,composition plants,planting,no,no,
1105,composition plants,"barley grain, feed, organic",no,no,
1106,composition plants,"wheat grain, feed, organic",no,no,
1107,composition plants,"miscanthus, chopped",no,no,
1108,compost,compost,high,yes,
1109,compost,"composting facility, open",no,no,
1110,compost,peat,no,no,
1111,compost,"soil, contaminated",no,no,
1112,compost,"waste textile, soiled",no,no,
1113,composters,compost,high,yes,
1114,composters,"composting facility, open",no,no,
1115,composters,"waste wood, post-consumer",no,no,
1116,composters,mulching,no,no,
1117,composters,harvester,no,no,
1118,compound cork,cork slab,high,yes,
1119,compound cork,"cork, raw",no,no,
1120,compound cork,sodium tetrahydridoborate,no,no,
1121,compound cork,"solvent, organic",no,no,
1122,compound cork,"cover plaster, organic",no,no,
1123,compound mitre saws,"power saw, with catalytic converter",medium,yes,
1124,compound mitre saws,"power sawing, with catalytic converter",medium,yes,
1125,compound mitre saws,"power saw, without catalytic converter",medium,yes,
1126,compound mitre saws,"power sawing, without catalytic converter",medium,yes,
1127,compound mitre saws,"sawnwood, hardwood, raw",no,no,
1128,compound-filled flexible leads,lead,no,no,
1129,compound-filled flexible leads,"used flexible duct aluminium/PET, DN of 125",no,no,
1130,"compounds, inorganic","chemical, inorganic",high,yes,
1131,"compounds, inorganic","chemical, organic",no,no,
1132,"compounds, inorganic",iron(II) chloride,no,no,
1133,"compounds, inorganic","solvent, organic",no,no,
1134,"compounds, inorganic","phosphorus, white, liquid",no,no,
1135,compressed air,"compressed air, 800 kPa gauge",medium,yes,
1136,compressed air,"compressed air, 1000 kPa gauge",medium,yes,
1137,compressed air,"compressed air, 700 kPa gauge",medium,yes,
1138,compressed air,"compressed air, 600 kPa gauge",medium,yes,
1139,compressed air,"compressed air, 1200 kPa gauge",medium,yes,
1140,compressed air boosters,"compressed air, 800 kPa gauge",no,no,
1141,compressed air boosters,"compressed air, 700 kPa gauge",no,no,
1142,compressed air boosters,"compressed air, 600 kPa gauge",no,no,
1143,compressed air boosters,"compressed air, 1000 kPa gauge",no,no,
1144,compressed air boosters,"compressed air, 1200 kPa gauge",no,no,
1145,compressed air components,"compressed air, 700 kPa gauge",no,no,
1146,compressed air components,"compressed air, 800 kPa gauge",no,no,
1147,compressed air components,"compressed air, 600 kPa gauge",no,no,
1148,compressed air components,"compressed air, 1000 kPa gauge",no,no,
1149,compressed air components,"compressed air, 1200 kPa gauge",no,no,
1150,compressed air diaphragm pumps,"compressed air, 800 kPa gauge",no,no,
1151,compressed air diaphragm pumps,"compressed air, 1000 kPa gauge",no,no,
1152,compressed air diaphragm pumps,"compressed air, 700 kPa gauge",no,no,
1153,compressed air diaphragm pumps,"compressed air, 600 kPa gauge",no,no,
1154,compressed air diaphragm pumps,"compressed air, 1200 kPa gauge",no,no,
1155,compressed air dryers,dryer,no,no,
1156,compressed air dryers,hair dryer,no,no,
1157,compressed air dryers,"gas turbine, 80MW, for compressed air energy storage",no,no,
1158,compressed air dryers,"compressed air, 700 kPa gauge",no,no,
1159,compressed air dryers,"compressed air, 800 kPa gauge",no,no,
1160,compressed air filters,"compressed air, 800 kPa gauge",no,no,
1161,compressed air filters,"compressed air, 600 kPa gauge",no,no,
1162,compressed air filters,"compressed air, 700 kPa gauge",no,no,
1163,compressed air filters,"compressed air, 1000 kPa gauge",no,no,
1164,compressed air filters,"compressed air, 1200 kPa gauge",no,no,
1165,compressed air tool,"compressed air, 700 kPa gauge",no,no,
1166,compressed air tool,"compressed air, 800 kPa gauge",no,no,
1167,compressed air tool,"compressed air, 600 kPa gauge",no,no,
1168,compressed air tool,"compressed air, 1000 kPa gauge",no,no,
1169,compressed air tool,"compressed air, 1200 kPa gauge",no,no,
1170,compressed air tubing,"compressed air, 800 kPa gauge",no,no,
1171,compressed air tubing,"compressed air, 700 kPa gauge",no,no,
1172,compressed air tubing,"compressed air, 600 kPa gauge",no,no,
1173,compressed air tubing,"compressed air, 1000 kPa gauge",no,no,
1174,compressed air tubing,"compressed air, 1200 kPa gauge",no,no,
1175,compressed air tyre lever,"compressed air, 600 kPa gauge",no,no,
1176,compressed air tyre lever,"compressed air, 800 kPa gauge",no,no,
1177,compressed air tyre lever,"compressed air, 700 kPa gauge",no,no,
1178,compressed air tyre lever,"waste, pneumatic tyres",no,no,
1179,compressed air tyre lever,"compressed air, 1200 kPa gauge",no,no,
1180,compressed cardboard,waste plaster-cardboard sandwich,no,no,
1181,compressed cardboard,waste packaging paper,no,no,
1182,compressed cardboard,liquid packaging board container,no,no,
1183,compressed cardboard,liquid packaging board,no,no,
1184,compressed cardboard,corrugated board box,no,no,
1185,compressed firewood,"wood cladding, softwood",no,no,
1186,compressed firewood,wood wool,no,no,
1187,compressed firewood,"shed, large, wood, non-insulated, fire-unprotected",no,no,
1188,compressed firewood,"garage, wood, non-insulated, fire-protected",no,no,
1189,compressed firewood,"waste wood, untreated",no,no,
1190,compressed wood,glued solid timber,no,no,
1191,compressed wood,"waste wood, untreated",no,no,
1192,compressed wood,structural timber,no,no,
1193,compressed wood,"wood preservation facility, oscillating pressure method",no,no,
1194,compressed wood,"wood preservation facility, vacuum pressure method",no,no,
1195,compressed-air brakes,"compressed air, 600 kPa gauge",no,no,
1196,compressed-air brakes,"compressed air, 800 kPa gauge",no,no,
1197,compressed-air brakes,"compressed air energy storage plant, 200 MW electrical",no,no,
1198,compressed-gas fittings,"compressed air, 700 kPa gauge",no,no,
1199,compressed-gas fittings,"compressed air, 800 kPa gauge",no,no,
1200,compressed-gas fittings,"gas turbine, 80MW, for compressed air energy storage",no,no,
1201,compressed-gas fittings,"compressed air, 600 kPa gauge",no,no,
1202,compressed-gas fittings,"compressed air, 1000 kPa gauge",no,no,
1203,compression ring pipe unions,"extrusion, plastic pipes",no,no,
1204,compression ring pipe unions,"drawing of pipe, steel",no,no,
1205,compression ring pipe unions,chromium steel pipe,no,no,
1206,compression ring pipe unions,"pipeline, natural gas, low pressure distribution network",no,no,
1207,compression ring pipe unions,"pipeline, natural gas, high pressure distribution network",no,no,
1208,compression springs,hydraulic digger,no,no,
1209,compression springs,"air compressor, screw-type compressor, 300kW",no,no,
1210,compression springs,"air compressor, screw-type compressor, 4kW",no,no,
1211,compressor,"air compressor, screw-type compressor, 300kW",medium,yes,
1212,compressor,"air compressor, screw-type compressor, 4kW",medium,yes,
1213,compressor,vacuum cleaner,no,no,
1214,compressor,"gas turbine, 80MW, for compressed air energy storage",no,no,
1215,compressor,refrigerator,no,no,
1216,compressor filters,"air compressor, screw-type compressor, 300kW",no,no,
1217,compressor filters,"air compressor, screw-type compressor, 4kW",no,no,
1218,compressor filters,"air filter, in exhaust air valve",medium,yes,
1219,compressor filters,"air filter, central unit, 600 m3/h",medium,yes,
1220,compressor filters,"used air filter decentralized unit, 180-250 m3/h",no,no,
1221,compressor oil,petroleum,no,no,
1222,compressor oil,lubricating oil,no,no,
1223,compressor oil,"air compressor, screw-type compressor, 300kW",no,no,
1224,compressor oil,"air compressor, screw-type compressor, 4kW",no,no,
1225,compressor oil,base oil,no,no,
1226,compressor valves,"air compressor, screw-type compressor, 300kW",no,no,
1227,compressor valves,"air compressor, screw-type compressor, 4kW",no,no,
1228,compressor valves,"air filter, in exhaust air valve",no,no,
1229,compressor valves,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,no,
1230,compressor valves,gas boiler,no,no,
1231,compressors for air conditioning,"air compressor, screw-type compressor, 300kW",no,no,
1232,compressors for air conditioning,"air compressor, screw-type compressor, 4kW",no,no,
1233,compressors for air conditioning,"gas turbine, 80MW, for compressed air energy storage",no,no,
1234,compressors for air conditioning,"compressed air energy storage plant, 200 MW electrical",no,no,
1235,compressors for air conditioning,"compressed air energy storage plant, adiabatic, 150 MW electrical",no,no,
1236,computer cases,used desktop computer,no,no,
1237,computer cases,"operation, computer, desktop, office use",no,no,
1238,computer cases,"computer, laptop",no,no,
1239,computer cases,"chassis, internet access equipment",no,no,
1240,computer cases,"disk drive, CD/DVD, ROM, for desktop computer",no,no,
1241,computer combination weighers,"industrial machine, heavy, unspecified",no,no,
1242,computer control panels,"electronics, for control units",no,no,
1243,computer control panels,"photovoltaic panel, CIS",no,no,
1244,computer control panels,electronics scrap from control units,no,no,
1245,computer control panels,"panel glass, for cathode ray tube display",no,no,
1246,computer control panels,photovoltaic panel factory,no,no,
1247,computer glasses,"glass, for liquid crystal display",no,no,
1248,computer glasses,foam glass,no,no,
1249,computer glasses,glass fibre,no,no,
1250,computer glasses,flat glass factory,no,no,
1251,computer glasses,waste glass,no,no,
1252,concentrated butter for bakeries,"butter, from cow milk",high,yes,
1253,concentrated butter for bakeries,"buttermilk, from cow milk",no,no,
1254,concentrated fruit juices,strawberry,no,no,
1255,concentrated fruit juices,"fruit tree seedling, for planting",no,no,
1256,concentrated fruit juices,grape,no,no,
1257,concentrated fruit juices,sugar beet pulp,no,no,
1258,concentrated fruit juices,"mango, conditioned",no,no,
1259,concentrated fruit syrups,"sugar, from sugarcane",no,no,
1260,concentrated fruit syrups,sugar beet pulp,no,no,
1261,concentrated fruit syrups,"sugar, from sugar beet",no,no,
1262,concentrated fruit syrups,strawberry,no,no,
1263,concentrated fruit syrups,"molasses, from sugar beet",no,no,
1264,concrete,concrete slab,medium,yes,
1265,concrete,"concrete, 35MPa",high,yes,
1266,concrete,"concrete, medium strength",high,yes,
1267,concrete,"concrete, 50MPa",high,yes,
1268,concrete,"concrete, 20MPa",high,yes,
1269,concrete additives,supplementary cementitious materials,medium,yes,
1270,concrete additives,"concrete, medium strength",no,no,
1271,concrete additives,"cement, type S",no,no,
1272,concrete additives,"concrete, 30-32MPa",no,no,
1273,concrete additives,"concrete, 25-30MPa",no,no,
1274,concrete admixtures,waste concrete,no,no,
1275,concrete admixtures,"concrete, 20MPa",no,no,
1276,concrete admixtures,"concrete, 30-32MPa",no,no,
1277,concrete admixtures,"concrete, medium strength",no,no,
1278,concrete admixtures,"concrete, 25-30MPa",no,no,
1279,concrete aggregate,concrete slab,no,no,
1280,concrete aggregate,"waste mixed aggregates, from demolition",medium,yes,
1281,concrete aggregate,lean concrete,no,no,
1282,concrete aggregate,"concrete, 20MPa",no,no,
1283,concrete aggregate,"concrete, 25-30MPa",no,no,
1284,concrete alveolar slabs,concrete slab,medium,yes,
1285,concrete alveolar slabs,concrete roof tile,no,no,
1286,concrete alveolar slabs,fibre cement corrugated slab,no,no,
1287,concrete alveolar slabs,waste cement-fibre slab,no,no,
1288,concrete alveolar slabs,concrete block,no,no,
1289,concrete anchors,concrete slab,no,no,
1290,concrete anchors,concrete block,no,no,
1291,concrete anchors,lean concrete,no,no,
1292,concrete anchors,cement mortar,no,no,
1293,concrete anchors,"concrete, medium strength",no,no,
1294,concrete benches,concrete slab,no,no,
1295,concrete benches,lean concrete,no,no,
1296,concrete benches,"concrete, 25-30MPa",no,no,
1297,concrete benches,concrete block,no,no,
1298,concrete benches,"concrete, 30-32MPa",no,no,
1299,concrete block coatings,concrete block,no,no,
1300,concrete block coatings,"lightweight concrete block, polystyrene",no,no,
1301,concrete block coatings,"lightweight concrete block, pumice",no,no,
1302,concrete block coatings,"lightweight concrete block, expanded clay",no,no,
1303,concrete block coatings,metal coating facility,no,no,
1304,concrete blocks,concrete block,high,yes,
1305,concrete blocks,concrete slab,high,yes,
1306,concrete blocks,"lightweight concrete block, polystyrene",medium,yes,
1307,concrete blocks,"lightweight concrete block, pumice",medium,yes,
1308,concrete blocks,"lightweight concrete block, expanded clay",medium,yes,
1309,concrete blocks for exterior works,concrete block,high,yes,
1310,concrete blocks for exterior works,"lightweight concrete block, polystyrene",medium,yes,
1311,concrete blocks for exterior works,"lightweight concrete block, expanded clay",medium,yes,
1312,concrete blocks for exterior works,"lightweight concrete block, expanded vermiculite",medium,yes,
1313,concrete blocks for exterior works,"lightweight concrete block, pumice",medium,yes,
1314,concrete breathers,waste concrete,no,no,
1315,concrete breathers,"concrete, 20MPa",no,no,
1316,concrete breathers,"concrete, 30MPa",no,no,
1317,concrete breathers,"concrete, 40MPa",no,no,
1318,concrete breathers,"concrete, 50MPa",no,no,
1319,concrete core drills,"concrete, medium strength",no,no,
1320,concrete core drills,concrete slab,no,no,
1321,concrete core drills,"concrete, 25-30MPa",no,no,
1322,concrete core drills,"steel removed by drilling, computer numerical controlled",no,no,
1323,concrete core drills,"concrete, 30-32MPa",no,no,
1324,concrete covered poles,concrete slab,no,no,
1325,concrete covered poles,concrete block,no,no,
1326,concrete covered poles,"concrete, 25-30MPa",no,no,
1327,concrete covered poles,"fibre-reinforced concrete, steel",no,no,
1328,concrete covered poles,"concrete, 30-32MPa",no,no,
1329,concrete floor slabs,concrete slab,high,yes,
1330,concrete floor slabs,concrete roof tile,no,no,
1331,concrete floor slabs,concrete block,no,no,
1332,concrete floor slabs,waste cement-fibre slab,no,no,
1333,concrete floor slabs,fibre cement corrugated slab,no,no,
1334,concrete insulating materials,polystyrene foam slab for perimeter insulation,no,no,
1335,concrete insulating materials,"concrete, 25-30MPa",no,no,
1336,concrete insulating materials,"concrete, 30-32MPa",no,no,
1337,concrete insulating materials,"concrete, 40MPa",no,no,
1338,concrete insulating materials,"concrete, 20MPa",no,no,
1339,concrete millers,concrete slab,no,no,
1340,concrete millers,waste concrete,no,no,
1341,concrete millers,"concrete, 20MPa",no,no,
1342,concrete millers,"concrete, medium strength",no,no,
1343,concrete millers,"concrete, 50MPa",no,no,
1344,concrete mixers,concrete mixing factory,no,no,
1345,concrete mixers,lean concrete,no,no,
1346,concrete mixers,"concrete, 25-30MPa",no,no,
1347,concrete mixers,"cement, type IP",no,no,
1348,concrete mixers,"concrete, 30-32MPa",no,no,
1349,concrete paving blocks,concrete block,high,yes,
1350,concrete paving blocks,concrete slab,medium,yes,
1351,concrete paving blocks,"lightweight concrete block, polystyrene",no,no,
1352,concrete paving blocks,waste concrete,no,no,
1353,concrete paving blocks,concrete roof tile,no,no,
1354,concrete plant conveyors,waste concrete,no,no,
1355,concrete plant conveyors,concrete mixing factory,no,no,
1356,concrete plant conveyors,lean concrete,no,no,
1357,concrete plant conveyors,conveyor belt,medium,yes,
1358,concrete plant conveyors,concrete slab,no,no,
1359,concrete plasticizers,"plasticiser, for concrete, based on sulfonated melamine formaldehyde",high,yes,
1360,concrete plasticizers,plastic processing factory,no,no,
1361,concrete plasticizers,concrete mixing factory,no,no,
1362,concrete plasticizers,"concrete, 25-30MPa",no,no,
1363,concrete plasticizers,wastewater from concrete production,no,no,
1364,concrete protection slabs made of plastic,concrete slab,no,no,
1365,concrete protection slabs made of plastic,concrete block,no,no,
1366,concrete protection slabs made of plastic,"concrete, medium strength",no,no,
1367,concrete protection slabs made of plastic,concrete roof tile,no,no,
1368,concrete protection slabs made of plastic,"lightweight concrete block, polystyrene",no,no,
1369,concrete pumps,pump station,no,no,
1370,concrete pumps,"water pump operation, diesel",no,no,
1371,concrete pumps,"water pump operation, electric",no,no,
1372,concrete pumps,hydraulic digger,no,no,
1373,concrete pumps,lean concrete,no,no,
1374,concrete sewer pipes,wastewater from concrete production,no,no,
1375,concrete sewer pipes,waste concrete,no,no,
1376,concrete sewer pipes,"sewer grid, urban",no,no,
1377,concrete sewer pipes,waste reinforced concrete,no,no,
1378,concrete sewer pipes,waste cement-fibre slab,no,no,
1379,concrete stones,concrete slab,no,no,
1380,concrete stones,cement mortar,no,no,
1381,concrete stones,waste concrete gravel,no,no,
1382,concrete stones,waste concrete,no,no,
1383,concrete stones,light mortar,no,no,
1384,concrete structural beams,concrete slab,no,no,
1385,concrete structural beams,"fibre-reinforced concrete, steel",no,no,
1386,concrete structural beams,"concrete, medium strength",no,no,
1387,concrete structural beams,concrete block,no,no,
1388,concrete structural beams,"concrete, normal strength",no,no,
1389,concrete tanks,waste concrete,no,no,
1390,concrete tanks,"concrete, 25-30MPa",no,no,
1391,concrete tanks,cement mortar,no,no,
1392,concrete tanks,"concrete, 25MPa",no,no,
1393,concrete tanks,lean concrete,no,no,
1394,condensate traps,condensate from light oil boiler,no,no,
1395,condensation boilers,condensate from light oil boiler,no,no,
1396,condensation boilers,gas boiler,no,no,
1397,condensation boilers,"residues, MSWI-WWT, condensate from light oil boiler",no,no,
1398,condensation boilers,"bottom ash, MSWI-WWT, condensate from light oil boiler",no,no,
1399,condensation boilers,"steam, in chemical industry",no,no,
1400,condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",no,no,
1401,condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts",no,no,
1402,condensation chambers,ventilation components factory,no,no,
1403,condensation chambers,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts, with earth tube heat exchanger",no,no,
1404,condensation chambers,air separation facility,no,no,
1405,condensed milk,dairy,medium,yes,
1406,condensed milk,"skimmed milk, from cow milk",no,no,
1407,condensed milk,milking,no,no,
1408,condensed milk,cow milk,high,yes,
1409,condensed milk,evaporation of milk,no,no,
1410,condenser tube,evacuated tube collector,no,no,
1411,condenser tube,tube insulation factory,no,no,
1412,condenser tube,glass tube factory,no,no,
1413,condenser tube,"glass tube, borosilicate",no,no,
