main_activity,clustered,tilt_subsector
manufacturer/ producer,switching shafts,Automotive LDV
manufacturer/ producer,balance shafts,Automotive LDV
manufacturer/ producer,contact lines,Automotive LDV
manufacturer/ producer,slip rings,Automotive LDV
manufacturer/ producer,slip-ring elements,Automotive LDV
manufacturer/ producer,rotary transmitter,Automotive LDV
wholesaler,rotary transmitter,Food Related Products
manufacturer/ producer,cable trolley systems,Automotive LDV
manufacturer/ producer,trailing cable systems,Automotive LDV
manufacturer/ producer,cable drums,Automotive LDV
manufacturer/ producer,etching systems,Machinery & Equipment
manufacturer/ producer,identification systems for quality assurance,Machinery & Equipment
manufacturer/ producer,marking systems for quality assurance,Machinery & Equipment
manufacturer/ producer,test mark stamper,Machinery & Equipment
manufacturer/ producer,automatic identification,Machinery & Equipment
manufacturer/ producer,specialised machines for testing technology,Machinery & Equipment
manufacturer/ producer,test bench automation,Machinery & Equipment
manufacturer/ producer,thermal test instrument,Machinery & Equipment
manufacturer/ producer,hydraulic test instruments,Machinery & Equipment
manufacturer/ producer,test instruments for paints,Machinery & Equipment
manufacturer/ producer,test instruments for varnishes,Machinery & Equipment
manufacturer/ producer,test instruments for enamels,Machinery & Equipment
manufacturer/ producer,test instruments,Machinery & Equipment
manufacturer/ producer,air brakes,Automotive LDV
manufacturer/ producer,transmission shafts for mechanical engineering,Automotive LDV
manufacturer/ producer,articulated shafts,Automotive LDV
manufacturer/ producer,cardan shafts,Automotive LDV
manufacturer/ producer,drive shafts for cars,Automotive LDV
manufacturer/ producer,chloroprene hoses,Automotive LDV
manufacturer/ producer,articulated shaft repairs,Automotive LDV
manufacturer/ producer,wire rope spring elements,Automotive LDV
manufacturer/ producer,"shock absorbers, hydraulic",Automotive LDV
manufacturer/ producer,viscous torsional vibration dampers,Automotive LDV
manufacturer/ producer,damping elements for buildings,Automotive LDV
manufacturer/ producer,air spring elements (bellows cylinders),Automotive LDV
manufacturer/ producer,rotary brakes,Automotive LDV
manufacturer/ producer,armature winding machinery,Automotive LDV
manufacturer/ producer,tension brakes,Automotive LDV
manufacturer/ producer,spiral winder for electric cables,Automotive LDV
manufacturer/ producer,torque limiter couplings,Automotive LDV
manufacturer/ producer,gear couplings with crowned teeth,Automotive LDV
manufacturer/ producer,elastic belts,Automotive LDV
manufacturer/ producer,belts for baggers,Automotive LDV
manufacturer/ producer,screwed battens,Automotive LDV
manufacturer/ producer,industrial plastic pallets,Automotive LDV
manufacturer/ producer,cardan transmissions,Automotive LDV
manufacturer/ producer,cardan joints for transmissions,Automotive LDV
wholesaler,axial piston pumps,Machinery & Equipment
manufacturer/ producer,pneumatic drives,Automotive LDV
manufacturer/ producer,development of radio systems,Automotive LDV
manufacturer/ producer,automation technology based on radio,Automotive LDV
manufacturer/ producer,wireless data modules,Automotive LDV
manufacturer/ producer,rc radio control,Automotive LDV
manufacturer/ producer,abrasive belts,Automotive LDV
manufacturer/ producer,controlled rotary feedthroughs for hydraulic systems,Automotive LDV
manufacturer/ producer,open sided v belts,Automotive LDV
manufacturer/ producer,trapezoidal rubber belts,Automotive LDV
manufacturer/ producer,joined v belts,Automotive LDV
manufacturer/ producer,fire-resistant clothing,Automotive LDV
distributor,fire-resistant clothing,Food Related Products
missing,fire-resistant clothing,Total Power
manufacturer/ producer,snap hooks,Automotive LDV
manufacturer/ producer,trappings,Automotive LDV
manufacturer/ producer,harness design,Automotive LDV
manufacturer/ producer,manufacturer of skincare,Automotive LDV
manufacturer/ producer,manufacturer hair care products,Automotive LDV
manufacturer/ producer,manufacturer of chemical peels,Automotive LDV
manufacturer/ producer,manufacturer of pharmacy cosmetics,Automotive LDV
manufacturer/ producer,fall protection equipment,Automotive LDV
manufacturer/ producer,adjustable shock absorbers,Automotive LDV
manufacturer/ producer,militar vehicles,Automotive LDV
manufacturer/ producer,terpeck,Automotive LDV
manufacturer/ producer,shock absorber repairs,Automotive LDV
manufacturer/ producer,"brake discs, high-carbon",Automotive LDV
manufacturer/ producer,"drums, high-carbon",Automotive LDV
manufacturer/ producer,high quality brake pads,Automotive LDV
manufacturer/ producer,world-class braking system,Automotive LDV
manufacturer/ producer,antifreezes,Automotive LDV
manufacturer/ producer,autochemistry,Automotive LDV
manufacturer/ producer,services for purifying athmospheric pollutants,Other Industry
manufacturer/ producer,services for deodorizing athmospheric pollutants,Other Industry
manufacturer/ producer,peptide synthesis,Other Industry
manufacturer/ producer,custom peptides,Other Industry
manufacturer/ producer,clinical peptides,Other Industry
manufacturer/ producer,peptide pools,Other Industry
manufacturer/ producer,chemical analyses,no_match
manufacturer/ producer,radioactive material analysis,Other Industry
manufacturer/ producer,compactors for packaging,no_match
manufacturer/ producer,hire of polystyrene compactors,no_match
manufacturer/ producer,press compactor bin hire,no_match
manufacturer/ producer,"baling presses, hydraulic",no_match
manufacturer/ producer,creation of cosmetics lines,no_match
manufacturer/ producer,manufacturing of perfume lines,no_match
manufacturer/ producer,manufacturing of cosmetics lines,no_match
manufacturer/ producer,protective articles,no_match
manufacturer/ producer,protective garments,no_match
manufacturer/ producer,protective suits,no_match
wholesaler,protective suits,no_match
manufacturer/ producer,medical gloves,no_match
manufacturer/ producer,cleanroom wiper,no_match
manufacturer/ producer,disinfectant wipes,no_match
manufacturer/ producer,antibacterial hand wipes,no_match
manufacturer/ producer,multi-surface antibacterial wipes,no_match
manufacturer/ producer,technical wet wipes,no_match
manufacturer/ producer,hand sanitizer,no_match
manufacturer/ producer,visors,no_match
manufacturer/ producer,kn 95 masks,no_match
manufacturer/ producer,sanitizing detergents,no_match
distributor,sanitizing detergents,no_match
retailer,sanitizing detergents,no_match
manufacturer/ producer,hand lotion,no_match
manufacturer/ producer,breath spray,no_match
manufacturer/ producer,staircase with iron structure,Construction Residential
manufacturer/ producer,textile production,Construction Residential
manufacturer/ producer,textile manufacturer,Construction Residential
manufacturer/ producer,high heat output gas burners for industrial use,Construction Buildings
manufacturer/ producer,development of ultrasonic technology,Construction Buildings
manufacturer/ producer,ultrasonic generators,Construction Buildings
manufacturer/ producer,ultrasonic components,Construction Buildings
manufacturer/ producer,consulting for ultrasonic technology,Construction Buildings
manufacturer/ producer,ultrasonic devices for processing plastics,Construction Buildings
manufacturer/ producer,hand-operated ultrasonic welding equipment,Construction Buildings
manufacturer/ producer,ultrasonic sonotrodes for plastic technology,Construction Buildings
manufacturer/ producer,ultrasonic converters,Construction Buildings
manufacturer/ producer,manufacture of gypsum mouldings,Construction Buildings
manufacturer/ producer,industrial deep-freezing equipment,Machinery & Equipment
manufacturer/ producer,displays for shows design,Machinery & Equipment
manufacturer/ producer,displays for shows setup,Machinery & Equipment
manufacturer/ producer,fashion design,Machinery & Equipment
manufacturer/ producer,photograph studio rental,Machinery & Equipment
manufacturer/ producer,3d pattern development,Machinery & Equipment
manufacturer/ producer,sample development,Machinery & Equipment
manufacturer/ producer,in-house production,Machinery & Equipment
manufacturer/ producer,in-house outsourcing,Machinery & Equipment
manufacturer/ producer,contract packing for cosmetic products,Machinery & Equipment
manufacturer/ producer,liquid cosmetics,Machinery & Equipment
manufacturer/ producer,cosmetic products for hotels,Machinery & Equipment
manufacturer/ producer,shower foams,Machinery & Equipment
manufacturer/ producer,vibro-filters,Other Industry
manufacturer/ producer,fittings for orbital welding,Other Industry
manufacturer/ producer,prefabricated chalets,Construction Residential
manufacturer/ producer,football fields with artificial turf,Construction Buildings
manufacturer/ producer,construction of golf courses,Construction Buildings
manufacturer/ producer,humidity indicators,Fishing & Forestry
manufacturer/ producer,hostel,Fishing & Forestry
manufacturer/ producer,biological activators,Fishing & Forestry
manufacturer/ producer,wooden gift items,Fishing & Forestry
manufacturer/ producer,chip bags,Other Metals
manufacturer/ producer,disposal bags,Other Metals
manufacturer/ producer,valves springs plates compressor spare,Other Metals
manufacturer/ producer,manufacturing compressor equipment,Other Metals
manufacturer/ producer,return valves sunction,Other Metals
manufacturer/ producer,germany calculations for nods,Other Metals
manufacturer/ producer,germany calculations for compressor group charts,Other Metals
manufacturer/ producer,ocean monitoring,Total Energy
manufacturer/ producer,ocean power,Total Energy
manufacturer/ producer,microplastic sampler,Total Energy
manufacturer/ producer,minimalist jewellery,Other Metals
manufacturer/ producer,rope jewellery,Other Metals
manufacturer/ producer,titanium jewellery,Other Metals
manufacturer/ producer,indestructible jewellery,Other Metals
manufacturer/ producer,platinum jewellery,Other Metals
manufacturer/ producer,tests on materials,Other Industry
manufacturer/ producer,combustion analysis,Other Industry
manufacturer/ producer,restoration,Construction Buildings
manufacturer/ producer,packaging of old pipes,Construction Buildings
manufacturer/ producer,rental of marquees,Construction Buildings
manufacturer/ producer,control consoles,Construction Buildings
manufacturer/ producer,metal working machinery,Iron & Steel
agent/ representative,metal working machinery,Machinery & Equipment
manufacturer/ producer,application programs for the metal structural work industry,Construction Buildings
manufacturer/ producer,titanium for sheet metal working,Construction Buildings
manufacturer/ producer,wrought iron for the home,Construction Buildings
manufacturer/ producer,alphanumeric displays,Construction Residential
manufacturer/ producer,cfl/led backlighting for lcds,Construction Residential
manufacturer/ producer,liquid-crystal displays,Construction Residential
manufacturer/ producer,custom displays,Construction Residential
manufacturer/ producer,electroluminescent lighting for lcd,Construction Residential
manufacturer/ producer,background lighting for lcd,Construction Residential
manufacturer/ producer,e-paper displays,Construction Residential
manufacturer/ producer,lcd display modules,Construction Residential
manufacturer/ producer,roof improvements,Construction Buildings
manufacturer/ producer,multi-layered roofs,Construction Buildings
manufacturer/ producer,fall prevention systesm,Construction Buildings
retailer,fall prevention systesm,Machinery & Equipment
manufacturer/ producer,fall prevention equipment,Construction Buildings
retailer,fall prevention equipment,Machinery & Equipment
manufacturer/ producer,safety equipment,Construction Buildings
manufacturer/ producer,fall-arrest systems,Construction Buildings
manufacturer/ producer,wholesale bathroom furnishings,Construction Buildings
manufacturer/ producer,stair coverings,Construction Residential
manufacturer/ producer,indoor staircases,Construction Residential
manufacturer/ producer,phono impedance,Construction Buildings
wholesaler,phono impedance,Construction Buildings
manufacturer/ producer,venetian blinds,Construction Residential
retailer,venetian blinds,Construction Residential
manufacturer/ producer,"fountains, street",Construction Buildings
distributor,"fountains, street",Construction Buildings
manufacturer/ producer,"fountains, park",Construction Buildings
distributor,"fountains, park",Construction Buildings
manufacturer/ producer,fountains,Construction Buildings
missing,fountains,no_match
multi-category,fountains,Other Industry
manufacturer/ producer,dancing fountains,Construction Buildings
manufacturer/ producer,musical fountains,Construction Buildings
manufacturer/ producer,maintenance of fountains,Construction Buildings
manufacturer/ producer,vibrating motors,Construction Buildings
manufacturer/ producer,metal ladders,Construction Buildings
manufacturer/ producer,concreting,Construction Buildings
subcontractor,concreting,Construction Buildings
manufacturer/ producer,concreting equipment,Construction Buildings
manufacturer/ producer,concreting materials,Construction Buildings
manufacturer/ producer,cement mixers for the building trade,Construction Buildings
manufacturer/ producer,angles bars channels,Iron & Steel
manufacturer/ producer,bottom assembly for footware,Shipping
manufacturer/ producer,upper manufacturers,Shipping
manufacturer/ producer,working of uppers,Shipping
missing,working of uppers,Shipping
manufacturer/ producer,leak test devices,Other Industry
manufacturer/ producer,leak testing equipment,Other Industry
distributor,leak testing equipment,Iron & Steel
manufacturer/ producer,electronic flowmeters,Other Industry
manufacturer/ producer,compressed-air brakes,Automotive LDV
manufacturer/ producer,anti-theft devices for motor vehicles,Automotive LDV
agent/ representative,anti-theft devices for motor vehicles,Automotive HDV
manufacturer/ producer,motor vehicle fuses,Automotive LDV
manufacturer/ producer,quick connector,Automotive LDV
manufacturer/ producer,quick coupling systems,Automotive LDV
manufacturer/ producer,mono couplings,Automotive LDV
manufacturer/ producer,multi couplings,Automotive LDV
manufacturer/ producer,low-pressure couplings,Automotive LDV
manufacturer/ producer,medium-pressure couplings,Automotive LDV
manufacturer/ producer,carbon steel strips,Iron & Steel
manufacturer/ producer,precision cold rolled strip,Iron & Steel
manufacturer/ producer,automation for cnc machining tools,Iron & Steel
manufacturer/ producer,cnc horizontal machining centres,Iron & Steel
manufacturer/ producer,cnc portal machines,Iron & Steel
manufacturer/ producer,portal milling machines (gantry design),Iron & Steel
manufacturer/ producer,cbd white label,Oil Energy
manufacturer/ producer,cbd oil white label,Oil Energy
manufacturer/ producer,cbd wholesale,Oil Energy
manufacturer/ producer,cbd oil wholesale,Oil Energy
manufacturer/ producer,extracting cbd oil,Oil Energy
manufacturer/ producer,cbd weed,Oil Energy
manufacturer/ producer,cbd weed production,Oil Energy
manufacturer/ producer,oil rigs,Oil Energy
wholesaler,oil rigs,Oil Energy
manufacturer/ producer,machines for washing metal,Other Industry
manufacturer/ producer,systems for washing metals,Other Industry
manufacturer/ producer,cleaning systems for small parts,Other Industry
manufacturer/ producer,cleaning system construction,Other Industry
manufacturer/ producer,ultrasonic cleaning systems,Other Industry
manufacturer/ producer,"feeders, automatic",Other Industry
manufacturer/ producer,fodder troughs for zootechnics,Other Industry
manufacturer/ producer,ostrich feather boa,Agriculture & Livestock
wholesaler,ostrich feather boa,Agriculture & Livestock
manufacturer/ producer,goose neck presses,Agriculture & Livestock
manufacturer/ producer,smoking units,Agriculture & Livestock
manufacturer/ producer,professional attire,Agriculture & Livestock
manufacturer/ producer,queen bee rearing,Agriculture & Livestock
manufacturer/ producer,systems for earthworm breeding,Fishing & Forestry
manufacturer/ producer,equipment for earthworm breeding,Fishing & Forestry
manufacturer/ producer,titanium welding,Iron & Steel
manufacturer/ producer,copper pots,Iron & Steel
manufacturer/ producer,ems service providers,Machinery & Equipment
manufacturer/ producer,smd assemblies,Machinery & Equipment
manufacturer/ producer,electronics manufacturing,Machinery & Equipment
manufacturer/ producer,adsl,Machinery & Equipment
manufacturer/ producer,vdsl,Machinery & Equipment
manufacturer/ producer,pumps for synthetic fibre applications,Other Industry
manufacturer/ producer,pur applications,Other Industry
manufacturer/ producer,extruder pumps,Other Industry
manufacturer/ producer,booster pumps,Other Industry
manufacturer/ producer,monofilaments,Other Industry
manufacturer/ producer,large sizes tracing paper,Other Industry
distributor,large sizes tracing paper,Other Industry
manufacturer/ producer,supplies for digital printing,Other Industry
manufacturer/ producer,disinfectants for medical use,Other Industry
manufacturer/ producer,medical disinfection gels,Other Industry
manufacturer/ producer,medical disinfectants in bottles,Other Industry
manufacturer/ producer,medical disinfection cloths,Other Industry
manufacturer/ producer,medical disinfectant dispensers,Other Industry
manufacturer/ producer,chronic wound healing,Other Industry
manufacturer/ producer,disposable medical items,Other Industry
manufacturer/ producer,wound healing,Other Industry
manufacturer/ producer,"wound healing, fast",Other Industry
manufacturer/ producer,vinyl gloves,Other Industry
manufacturer/ producer,cleaning heads,Other Transport
manufacturer/ producer,electrostatic discharging,Other Transport
manufacturer/ producer,electrostatic charging,Other Transport
manufacturer/ producer,electrostatic cleaning,Other Transport
manufacturer/ producer,electrostatics,Other Transport
manufacturer/ producer,earthing,Other Transport
manufacturer/ producer,barcodes,Other Industry
manufacturer/ producer,inked ribbons,Other Industry
manufacturer/ producer,accessories for strimmers,Other Industry
manufacturer/ producer,"drills, pneumatic",Automotive LDV
distributor,"drills, pneumatic",Automotive LDV
manufacturer/ producer,"carport, metal",Construction Residential
distributor,shoehorn,Iron & Steel
distributor,primed stainless steel,Iron & Steel
distributor,stainless steel sheet products,Iron & Steel
wholesaler,stainless steel sheet products,Iron & Steel
agent/ representative,stainless steel sheet products,Iron & Steel
distributor,customised mechanical assemblies,Iron & Steel
wholesaler,copper rods,Iron & Steel
distributor,industrial hardware ironmongery,Iron & Steel
distributor,small diameter tubes,Iron & Steel
distributor,pipe machining machinery,Iron & Steel
distributor,tube transfer lines,Iron & Steel
distributor,pipe shearing,Iron & Steel
distributor,electrochemical pipe cutting,Iron & Steel
distributor,pipe forming,Iron & Steel
distributor,pipe working transfer lines,Iron & Steel
distributor,point-to-point leds,Iron & Steel
distributor,leds for integration,Iron & Steel
distributor,led neons,Iron & Steel
distributor,lettering-edge machines,Iron & Steel
distributor,channel bender machines,Iron & Steel
distributor,distributor of bender machines,Iron & Steel
distributor,flexible led strips,Iron & Steel
distributor,machines for the fabrication of store-front lettering,Iron & Steel
distributor,valve accessories,Iron & Steel
retailer,valve accessories,Construction Residential
distributor,sleeve boards,Iron & Steel
distributor,furniture entrance hall,Iron & Steel
distributor,furniture vestibule,Iron & Steel
distributor,furniture accessories,Iron & Steel
distributor,contracted straightening,Iron & Steel
distributor,used stainless steel tanks,Iron & Steel
distributor,thrust bearings,Iron & Steel
distributor,articulated heads,Iron & Steel
distributor,races (mechanical engineering),Iron & Steel
distributor,needle bearings-sealing rings,Iron & Steel
distributor,supplies for machine tools for sheet metal working,Iron & Steel
distributor,precious metal plating baths,Iron & Steel
distributor,metal railings for the building trade,Iron & Steel
distributor,sheet plate trade,Iron & Steel
distributor,merchant finished steel bars,Iron & Steel
distributor,polishing metals systems,Iron & Steel
distributor,polishing metals machinery,Iron & Steel
wholesaler,industrial protective gloves,Construction Residential
distributor,steel structural sections,Iron & Steel
distributor,punching equipment,Iron & Steel
distributor,coating unit,Iron & Steel
distributor,dynamic screwdrivers,Iron & Steel
distributor,steel machines,Iron & Steel
distributor,pcd pad,Iron & Steel
distributor,abrasives in grains,Iron & Steel
distributor,precision grinding,Iron & Steel
distributor,tool grinding shop,Iron & Steel
distributor,grinding machine for stainless steel,Iron & Steel
distributor,machine components,Iron & Steel
distributor,plates for digital printing,Iron & Steel
distributor,rotary machines,Iron & Steel
distributor,special machines for medical technology,Iron & Steel
distributor,rotary transfer machines,Iron & Steel
distributor,robot welding technology,Iron & Steel
multi-category,industrial weighing tools,Other Metals
distributor,balcony plants,Fishing & Forestry
distributor,supplies for organised retail distribution,Fishing & Forestry
distributor,industrial refrigerating rooms,Fishing & Forestry
distributor,control panels for heating plants,Fishing & Forestry
distributor,control panels for air treatment plants,Fishing & Forestry
distributor,body treatments,Fishing & Forestry
distributor,customised cutting,Other Metals
missing,customised cutting,Other Industry
distributor,adhesive paper,Other Metals
distributor,import of pottery,Fishing & Forestry
distributor,ool handles,Fishing & Forestry
distributor,interior decorative panels,Fishing & Forestry
distributor,exterior decorative panels,Fishing & Forestry
distributor,treated timber,Fishing & Forestry
wholesaler,treated timber,Fishing & Forestry
distributor,solid wood flooring,Fishing & Forestry
wholesaler,solid wood flooring,Fishing & Forestry
distributor,cleaning of wooden floors,Fishing & Forestry
distributor,finished parquet,Fishing & Forestry
distributor,joiners' supplies,Fishing & Forestry
distributor,natural raw cork,Fishing & Forestry
agent/ representative,natural raw cork,Fishing & Forestry
distributor,electricity generator rental,Total Power
distributor,models of electricity generating plants,Total Power
distributor,manufacturer of lamps,Total Power
distributor,power distribution,Total Power
distributor,electronic distributor,Total Power
distributor,connector technology,Total Power
distributor,connectors,Total Power
missing,connectors,Automotive LDV
wholesaler,bus spare parts,Other Transport
wholesaler,bus accessories,Other Transport
wholesaler,coach accessories,Other Transport
wholesaler,coach bodywork,Other Transport
distributor,led tube,Total Power
distributor,tablets sponge,Total Power
distributor,textil,Total Power
distributor,stock,Total Power
distributor,secure payment software,Total Power
distributor,secure payment systems,Total Power
distributor,creative leisure activities - articles,Construction Buildings
retailer,creative leisure activities - articles,Other Industry
distributor,ceramic firing,Construction Buildings
distributor,flat ceramic elements,Construction Buildings
agent/ representative,ceramic dyes,Construction Buildings
distributor,diamond discs,Construction Buildings
distributor,articles for the chemical industry,Construction Buildings
distributor,supplies for the chemical industry,Construction Buildings
distributor,ceramic fibre fabrics,Construction Buildings
distributor,natural cloth bags,Construction Buildings
distributor,accessories for glass,Construction Residential
missing,accessories for glass,Construction Residential
distributor,bifocal glasses,Construction Residential
wholesaler,spice jar,Food Related Products
distributor,online,Construction Residential
distributor,optic,Construction Residential
missing,optic,Construction Residential
distributor,tempered glass products for building,Construction Residential
distributor,ski goggles,Construction Residential
distributor,supplies for glasses,Construction Residential
distributor,pans,Construction Residential
distributor,artistic glass,Construction Residential
distributor,covers for jars,Construction Residential
distributor,chinese porcelain,Construction Residential
retailer,chinese porcelain,Fishing & Forestry
distributor,antique porcelain,Construction Residential
distributor,sports glasses,Construction Residential
retailer,sports glasses,Construction Residential
distributor,folding bins,Construction Residential
distributor,furnaces for melting glass,Machinery & Equipment
distributor,machinery for the glass industry,Machinery & Equipment
distributor,equipment for the glass industry,Machinery & Equipment
distributor,water-skiing equipment,Other Transport
distributor,water-skiing gear,Other Transport
wholesaler,vehicle filter,Automotive LDV
distributor,manual gearbox repairs,Other Transport
distributor,supply of spare parts,Other Transport
distributor,road goods haulage with hired motor vehicles,Other Transport
subcontractor,road goods haulage with hired motor vehicles,Other Transport
distributor,passenger air transport by helicopter,Other Transport
distributor,boat repair advice,Other Transport
distributor,boat engine accessories,Other Transport
distributor,nautical accessories,Other Transport
distributor,material for boats,Other Transport
distributor,finishing profiles,Construction Buildings
distributor,glue spray for carpet,Construction Buildings
distributor,glue spray for upholstery,Construction Buildings
distributor,electrical scaffolding rental and sale,Construction Buildings
distributor,stays,Construction Buildings
distributor,galvanized sheet metal,Iron & Steel
wholesaler,galvanized sheet metal,Iron & Steel
multi-category,galvanized sheet metal,Iron & Steel
distributor,low-pressure fittings,Iron & Steel
distributor,copper fittings,Iron & Steel
distributor,international scrap metal trading,Iron & Steel
subcontractor,international scrap metal trading,Iron & Steel
distributor,"pipes, metal",Iron & Steel
missing,"pipes, metal",Construction Residential
distributor,"piping, metals",Iron & Steel
missing,"piping, metals",Construction Residential
distributor,distributor of welded pipes,Iron & Steel
distributor,high pressure pipes,Iron & Steel
distributor,hydraulic pipes,Iron & Steel
distributor,iron beams,Iron & Steel
distributor,iron store,Iron & Steel
distributor,piping store,Iron & Steel
distributor,iron sheet,Iron & Steel
distributor,steel product store,Iron & Steel
distributor,galvanised steel,Iron & Steel
missing,galvanised steel,Iron & Steel
distributor,hydraulic crushers,Iron & Steel
distributor,rubber chains,Iron & Steel
distributor,steel for plastics moulds,Iron & Steel
distributor,fronts for kitchen furnitures,Iron & Steel
subcontractor,fronts for kitchen furnitures,Construction Residential
distributor,furniture handles,Iron & Steel
distributor,steel sinks,Iron & Steel
distributor,nature,Fishing & Forestry
distributor,biology,Fishing & Forestry
wholesaler,articles for plumbing,Construction Buildings
distributor,pneumatic riveting machines,Fishing & Forestry
distributor,professional protection items,Fishing & Forestry
distributor,flower pot holder,Fishing & Forestry
multi-category,flexography machine,Machinery & Equipment
retailer,flexography machine,Machinery & Equipment
agent/ representative,flexography machine,Machinery & Equipment
wholesaler,purchase of equipment,Machinery & Equipment
wholesaler,sale of equipment,Machinery & Equipment
missing,cookers for communities,Machinery & Equipment
distributor,machines for producing wooden pallets,Machinery & Equipment
distributor,tools for jewellers,Machinery & Equipment
distributor,tools for goldsmiths,Machinery & Equipment
distributor,jewellery costume machinery,Machinery & Equipment
distributor,jewellery costume equipment,Machinery & Equipment
distributor,watch workshop,Machinery & Equipment
distributor,"ironing machines, industrial",Machinery & Equipment
wholesaler,"ironing machines, industrial",Machinery & Equipment
wholesaler,sales of new spare parts,Construction Buildings
distributor,refrigerated display cabinets,Machinery & Equipment
distributor,equipment for pizzerias,Machinery & Equipment
distributor,pizzeria set-up,Machinery & Equipment
retailer,air bag,Automotive LDV
distributor,paella pans,Machinery & Equipment
missing,paella pans,Machinery & Equipment
distributor,robot automated equipment for slaughterhouses,Machinery & Equipment
distributor,conveyors for slaughterhouses,Machinery & Equipment
distributor,pluckers,Machinery & Equipment
distributor,insulated joinery,Construction Residential
distributor,frame installation,Construction Residential
distributor,whole roast pig,Agriculture & Livestock
missing,used,Machinery & Equipment
distributor,led home lighting,Automotive HDV
distributor,purchase of new damaged cars,Automotive HDV
retailer,purchase of new damaged cars,Automotive LDV
distributor,amplifiers,Automotive HDV
agent/ representative,mallorca,Machinery & Equipment
distributor,electro pick,Other Transport
distributor,carry cranes,Other Transport
distributor,oil pneumatic pistons,Automotive LDV
distributor,smooth rings,Automotive LDV
distributor,instruction manuals produced,Automotive LDV
distributor,spare parts for cranes,Automotive LDV
distributor,hardware repair courses,Construction Residential
distributor,residual current circuit breakers,Construction Residential
wholesaler,residual current circuit breakers,Total Power
distributor,mains sockets,Construction Residential
distributor,landscaped borders,Construction Residential
distributor,technical articles for pools,Construction Residential
distributor,home automation systems,Construction Residential
distributor,tile cutters,Construction Residential
distributor,bars machines,Machinery & Equipment
distributor,public houses machines,Machinery & Equipment
distributor,cafés machines,Machinery & Equipment
distributor,public houses equipment,Machinery & Equipment
distributor,poultry incubators,Machinery & Equipment
distributor,poultry brooders,Machinery & Equipment
wholesaler,delivery of palletized drums,Machinery & Equipment
distributor,offset printing machine,Machinery & Equipment
agent/ representative,offset printing machine,Machinery & Equipment
retailer,offset printing machine,Machinery & Equipment
distributor,equipment for sheet offset printing,Machinery & Equipment
wholesaler,equipment for sheet offset printing,Machinery & Equipment
agent/ representative,equipment for sheet offset printing,Machinery & Equipment
distributor,machinery for bookbinding,Machinery & Equipment
distributor,truck spare,Other Transport
wholesaler,truck spare,Automotive LDV
distributor,reconstruction of complete heads,Other Transport
distributor,rotation of complete heads,Other Transport
multi-category,assembly of steel structural metalwork for construction,Iron & Steel
distributor,transit broker,Other Transport
distributor,spare parts for air conditioning,Other Transport
distributor,spare parts for ventilation systems,Other Transport
distributor,vehicles for waste management,Other Transport
distributor,"camera systems, acoustic",Other Transport
distributor,lpg distributor,Automotive LDV
distributor,backlit ceiling,Construction Buildings
distributor,led spotlight,Construction Buildings
wholesaler,led spotlight,Total Power
distributor,led strips,Construction Buildings
distributor,ice sports equipment,Other Industry
wholesaler,ice sports equipment,Other Industry
missing,ice sports equipment,Automotive HDV
retailer,ice sports equipment,Machinery & Equipment
distributor,ice sports accessories,Other Industry
wholesaler,ice sports accessories,Other Industry
missing,ice sports accessories,Automotive HDV
retailer,ice sports accessories,Machinery & Equipment
distributor,video games,Other Industry
wholesaler,video games,Other Industry
distributor,electronic games,Other Industry
distributor,printer cartridges,Other Industry
distributor,disposable shoe covers,Other Industry
distributor,hand gel,Other Industry
wholesaler,hand gel,no_match
distributor,protective visors,Other Industry
distributor,stationery trade catalogue returns,Other Industry
distributor,cartridges for ink-jet printers,Other Industry
distributor,books for young people,Other Industry
distributor,diaries,Other Industry
distributor,printer consumables,Other Industry
missing,printer consumables,Other Industry
retailer,printer consumables,Other Industry
distributor,tricks and jokes,Other Industry
wholesaler,tricks and jokes,Other Industry
retailer,"scanners, office",Machinery & Equipment
distributor,fashion accessories,Other Metals
distributor,custom jewellery articles,Other Metals
distributor,jewellery with amethysts,Other Metals
distributor,parures,Other Metals
retailer,parures,Other Metals
distributor,"technical consultant, constructing cableways",Machinery & Equipment
distributor,"technical consultant, constructing cable cars",Machinery & Equipment
distributor,"technical consultant, installing cableways",Machinery & Equipment
distributor,"technical consultant, installing cable cars",Machinery & Equipment
distributor,lift access for people with reduced mobility,Machinery & Equipment
distributor,tipping buckets for lift trucks,Machinery & Equipment
distributor,tipping buckets for lift carriers,Machinery & Equipment
distributor,comfits,Machinery & Equipment
distributor,construction of squares,Machinery & Equipment
distributor,industrial accumulators for electric traction,Machinery & Equipment
distributor,telescopic platforms,Machinery & Equipment
distributor,automatic tipping bins,Machinery & Equipment
distributor,manual pallet movers,Machinery & Equipment
wholesaler,manual pallet movers,Machinery & Equipment
distributor,heat trolleys,Machinery & Equipment
distributor,electronic forklifts,Machinery & Equipment
distributor,service for lift trucks,Machinery & Equipment
distributor,service for carriers,Machinery & Equipment
multi-category,workshop tools,Automotive LDV
distributor,orthopaedic walking sticks,Machinery & Equipment
distributor,orthopaedics,Machinery & Equipment
retailer,orthopaedics,Other Transport
distributor,reduced mobility lift,Machinery & Equipment
multi-category,reduced mobility lift,Machinery & Equipment
distributor,forklifts for hire,Machinery & Equipment
multi-category,teeth for excavators,Other Transport
distributor,retractable fall arresters,Machinery & Equipment
